Well	Absorbance	MET_Status	Treatment	Time
B03	0.199	WT	 + HGF	6
B04	0.191	WT	 + HGF	6
B05	0.23	WT	 + HGF	6
B06	0.251	WT	 + HGF	6
C01	0.216	WT	 + HGF + Tepotinib	6
C02	0.193	WT	 + HGF + Tepotinib	6
C03	0.229	WT	 + HGF + Tepotinib	6
C04	0.204	WT	 + HGF + Tepotinib	6
C05	0.232	WT	 + HGF + Tepotinib	6
C06	0.221	WT	 + HGF + Tepotinib	6
D01	0.163	WT	 + HGF + JNJ-38877605	6
D02	0.175	WT	 + HGF + JNJ-38877605	6
D03	0.212	WT	 + HGF + JNJ-38877605	6
D04	0.291	WT	 + HGF + JNJ-38877605	6
D05	0.347	WT	 + HGF + JNJ-38877605	6
D06	0.262	WT	 + HGF + JNJ-38877605	6
E01	0.43	D14	 - HGF	6
E02	0.37	D14	 - HGF	6
E03	0.393	D14	 - HGF	6
E04	0.384	D14	 - HGF	6
E05	0.504	D14	 - HGF	6
E06	0.435	D14	 - HGF	6
F01	1.51	D14	 + HGF	6
F02	1.134	D14	 + HGF	6
F03	1.645	D14	 + HGF	6
F04	1.517	D14	 + HGF	6
F05	1.555	D14	 + HGF	6
F06	1.442	D14	 + HGF	6
G01	0.578	D14	 + HGF + Tepotinib	6
G02	0.378	D14	 + HGF + Tepotinib	6
G03	0.412	D14	 + HGF + Tepotinib	6
G04	0.368	D14	 + HGF + Tepotinib	6
G05	0.406	D14	 + HGF + Tepotinib	6
G06	0.347	D14	 + HGF + Tepotinib	6
H01	0.362	D14	 + HGF + JNJ-38877605	6
H02	0.416	D14	 + HGF + JNJ-38877605	6
H03	0.406	D14	 + HGF + JNJ-38877605	6
H04	0.431	D14	 + HGF + JNJ-38877605	6
H05	0.445	D14	 + HGF + JNJ-38877605	6
H06	0.445	D14	 + HGF + JNJ-38877605	6
A01	0.036	WT	 - HGF	8
A02	0.036	WT	 - HGF	8
A03	0.043	WT	 - HGF	8
A04	0.066	WT	 - HGF	8
A05	0.053	WT	 - HGF	8
A06	0.07	WT	 - HGF	8
B01	0.038	WT	 + HGF	8
B02	0.04	WT	 + HGF	8
B03	0.037	WT	 + HGF	8
B04	0.036	WT	 + HGF	8
B05	0.05	WT	 + HGF	8
B06	0.037	WT	 + HGF	8
C01	0.038	WT	 + HGF + Tepotinib	8
C02	0.036	WT	 + HGF + Tepotinib	8
C03	0.036	WT	 + HGF + Tepotinib	8
C04	0.044	WT	 + HGF + Tepotinib	8
C05	0.041	WT	 + HGF + Tepotinib	8
C06	0.053	WT	 + HGF + Tepotinib	8
D01	0.039	WT	 + HGF + JNJ-38877605	8
D02	0.037	WT	 + HGF + JNJ-38877605	8
D03	0.037	WT	 + HGF + JNJ-38877605	8
D04	0.051	WT	 + HGF + JNJ-38877605	8
D05	0.05	WT	 + HGF + JNJ-38877605	8
D06	0.038	WT	 + HGF + JNJ-38877605	8
E01	0.16	D14	 - HGF	8
E02	0.142	D14	 - HGF	8
E03	0.159	D14	 - HGF	8
E04	0.258	D14	 - HGF	8
E05	0.405	D14	 - HGF	8
E06	0.295	D14	 - HGF	8
F01	0.505	D14	 + HGF	8
F02	0.715	D14	 + HGF	8
F03	1.157	D14	 + HGF	8
F04	1.133	D14	 + HGF	8
F05	0.113	D14	 + HGF	8
F06	0.118	D14	 + HGF	8
G01	0.04	D14	 + HGF + Tepotinib	8
G02	0.157	D14	 + HGF + Tepotinib	8
G03	0.037	D14	 + HGF + Tepotinib	8
G04	0.126	D14	 + HGF + Tepotinib	8
G05	0.116	D14	 + HGF + Tepotinib	8
G06	0.149	D14	 + HGF + Tepotinib	8
H01	0.172	D14	 + HGF + JNJ-38877605	8
H02	0.175	D14	 + HGF + JNJ-38877605	8
H03	0.038	D14	 + HGF + JNJ-38877605	8
H04	0.037	D14	 + HGF + JNJ-38877605	8
H05	0.172	D14	 + HGF + JNJ-38877605	8
H06	0.196	D14	 + HGF + JNJ-38877605	8
