Well	Absorbance	MET_Status	Treatment	Time
G01	0,442	D14	 + HGF + Tepotinib	1
G02	0,326	D14	 + HGF + Tepotinib	1
G03	0,351	D14	 + HGF + Tepotinib	1
G04	0,320	D14	 + HGF + Tepotinib	1
G05	0,331	D14	 + HGF + Tepotinib	1
G06	0,278	D14	 + HGF + Tepotinib	1
G07	0,206	D14_Amp	 + HGF + Tepotinib	1
G08	0,221	D14_Amp	 + HGF + Tepotinib	1
G09	0,208	D14_Amp	 + HGF + Tepotinib	1
G10	0,243	D14_Amp	 + HGF + Tepotinib	1
G11	0,307	D14_Amp	 + HGF + Tepotinib	1
G12	0,321	D14_Amp	 + HGF + Tepotinib	1
H01	0,271	D14	 + HGF + JNJ-38877605	1
H02	0,192	D14	 + HGF + JNJ-38877605	1
H03	0,237	D14	 + HGF + JNJ-38877605	1
H04	0,362	D14	 + HGF + JNJ-38877605	1
H05	0,300	D14	 + HGF + JNJ-38877605	1
H06	0,308	D14	 + HGF + JNJ-38877605	1
H07	0,204	D14_Amp	 + HGF + JNJ-38877605	1
H08	0,216	D14_Amp	 + HGF + JNJ-38877605	1
H09	0,259	D14_Amp	 + HGF + JNJ-38877605	1
H10	0,236	D14_Amp	 + HGF + JNJ-38877605	1
H11	0,246	D14_Amp	 + HGF + JNJ-38877605	1
H12	0,213	D14_Amp	 + HGF + JNJ-38877605	1
A01	0,271	WT	 - HGF	2
A02	0,251	WT	 - HGF	2
A03	0,269	WT	 - HGF	2
A04	0,242	WT	 - HGF	2
A05	0,234	WT	 - HGF	2
A06	0,251	WT	 - HGF	2
A07	0,244	WT_Amp	 - HGF	2
A08	0,222	WT_Amp	 - HGF	2
A09	0,264	WT_Amp	 - HGF	2
A10	0,246	WT_Amp	 - HGF	2
A11	0,298	WT_Amp	 - HGF	2
A12	0,370	WT_Amp	 - HGF	2
B01	0,241	WT	 + HGF	2
B02	0,248	WT	 + HGF	2
B03	0,233	WT	 + HGF	2
B04	0,225	WT	 + HGF	2
B05	0,246	WT	 + HGF	2
B06	0,231	WT	 + HGF	2
B07	0,260	WT_Amp	 + HGF	2
B08	0,235	WT_Amp	 + HGF	2
B09	0,263	WT_Amp	 + HGF	2
B10	0,258	WT_Amp	 + HGF	2
B11	0,237	WT_Amp	 + HGF	2
B12	0,258	WT_Amp	 + HGF	2
C01	0,250	WT	 + HGF + Tepotinib	2
C02	0,253	WT	 + HGF + Tepotinib	2
C03	0,262	WT	 + HGF + Tepotinib	2
C04	0,237	WT	 + HGF + Tepotinib	2
C05	0,270	WT	 + HGF + Tepotinib	2
C06	0,252	WT	 + HGF + Tepotinib	2
C07	0,147	WT_Amp	 + HGF + Tepotinib	2
C08	0,131	WT_Amp	 + HGF + Tepotinib	2
C09	0,185	WT_Amp	 + HGF + Tepotinib	2
C10	0,141	WT_Amp	 + HGF + Tepotinib	2
C11	0,240	WT_Amp	 + HGF + Tepotinib	2
C12	0,163	WT_Amp	 + HGF + Tepotinib	2
D01	0,165	WT	 + HGF + JNJ-38877605	2
D02	0,215	WT	 + HGF + JNJ-38877605	2
D03	0,178	WT	 + HGF + JNJ-38877605	2
D04	0,223	WT	 + HGF + JNJ-38877605	2
D05	0,215	WT	 + HGF + JNJ-38877605	2
D06	0,220	WT	 + HGF + JNJ-38877605	2
D07	0,155	WT_Amp	 + HGF + JNJ-38877605	2
D08	0,150	WT_Amp	 + HGF + JNJ-38877605	2
D09	0,173	WT_Amp	 + HGF + JNJ-38877605	2
D10	0,137	WT_Amp	 + HGF + JNJ-38877605	2
D11	0,131	WT_Amp	 + HGF + JNJ-38877605	2
D12	0,153	WT_Amp	 + HGF + JNJ-38877605	2
E01	0,290	D14	 - HGF	2
E02	0,221	D14	 - HGF	2
E03	0,239	D14	 - HGF	2
E04	0,293	D14	 - HGF	2
E05	0,285	D14	 - HGF	2
E06	0,281	D14	 - HGF	2
E07	0,152	D14_Amp	 - HGF	2
E08	0,183	D14_Amp	 - HGF	2
E09	0,153	D14_Amp	 - HGF	2
E10	0,141	D14_Amp	 - HGF	2
E11	0,159	D14_Amp	 - HGF	2
E12	0,140	D14_Amp	 - HGF	2
F01	0,391	D14	 + HGF	2
F02	0,460	D14	 + HGF	2
F03	0,476	D14	 + HGF	2
F04	0,335	D14	 + HGF	2
F05	0,369	D14	 + HGF	2
F06	0,387	D14	 + HGF	2
F07	0,195	D14_Amp	 + HGF	2
F08	0,177	D14_Amp	 + HGF	2
F09	0,171	D14_Amp	 + HGF	2
F10	0,201	D14_Amp	 + HGF	2
F11	0,274	D14_Amp	 + HGF	2
F12	0,251	D14_Amp	 + HGF	2
G01	0,284	D14	 + HGF + Tepotinib	2
G02	0,187	D14	 + HGF + Tepotinib	2
G03	0,185	D14	 + HGF + Tepotinib	2
G04	0,217	D14	 + HGF + Tepotinib	2
G05	0,225	D14	 + HGF + Tepotinib	2
G06	0,225	D14	 + HGF + Tepotinib	2
G07	0,107	D14_Amp	 + HGF + Tepotinib	2
G08	0,100	D14_Amp	 + HGF + Tepotinib	2
G09	0,108	D14_Amp	 + HGF + Tepotinib	2
G10	0,112	D14_Amp	 + HGF + Tepotinib	2
G11	0,111	D14_Amp	 + HGF + Tepotinib	2
G12	0,130	D14_Amp	 + HGF + Tepotinib	2
H01	0,252	D14	 + HGF + JNJ-38877605	2
H02	0,153	D14	 + HGF + JNJ-38877605	2
H03	0,144	D14	 + HGF + JNJ-38877605	2
H04	0,239	D14	 + HGF + JNJ-38877605	2
H05	0,171	D14	 + HGF + JNJ-38877605	2
H06	0,183	D14	 + HGF + JNJ-38877605	2
H07	0,091	D14_Amp	 + HGF + JNJ-38877605	2
H08	0,091	D14_Amp	 + HGF + JNJ-38877605	2
H09	0,089	D14_Amp	 + HGF + JNJ-38877605	2
H10	0,114	D14_Amp	 + HGF + JNJ-38877605	2
H11	0,093	D14_Amp	 + HGF + JNJ-38877605	2
H12	0,118	D14_Amp	 + HGF + JNJ-38877605	2
A01	0,154	WT	 - HGF	3
A02	0,118	WT	 - HGF	3
A03	0,122	WT	 - HGF	3
A04	0,154	WT	 - HGF	3
A05	0,204	WT	 - HGF	3
A06	0,157	WT	 - HGF	3
A07	0,327	WT_Amp	 - HGF	3
A08	0,204	WT_Amp	 - HGF	3
A09	0,178	WT_Amp	 - HGF	3
A10	0,258	WT_Amp	 - HGF	3
A11	0,221	WT_Amp	 - HGF	3
A12	0,269	WT_Amp	 - HGF	3
B01	0,137	WT	 + HGF	3
B02	0,190	WT	 + HGF	3
B03	0,115	WT	 + HGF	3
B04	0,139	WT	 + HGF	3
B05	0,101	WT	 + HGF	3
B06	0,263	WT	 + HGF	3
B07	0,205	WT_Amp	 + HGF	3
B08	0,348	WT_Amp	 + HGF	3
B09	0,310	WT_Amp	 + HGF	3
B10	0,321	WT_Amp	 + HGF	3
B11	0,372	WT_Amp	 + HGF	3
B12	0,268	WT_Amp	 + HGF	3
C01	0,138	WT	 + HGF + Tepotinib	3
C02	0,193	WT	 + HGF + Tepotinib	3
C03	0,195	WT	 + HGF + Tepotinib	3
C04	0,164	WT	 + HGF + Tepotinib	3
C05	0,205	WT	 + HGF + Tepotinib	3
C06	0,127	WT	 + HGF + Tepotinib	3
C07	0,147	WT_Amp	 + HGF + Tepotinib	3
C08	0,109	WT_Amp	 + HGF + Tepotinib	3
C09	0,107	WT_Amp	 + HGF + Tepotinib	3
C10	0,116	WT_Amp	 + HGF + Tepotinib	3
C11	0,091	WT_Amp	 + HGF + Tepotinib	3
C12	0,122	WT_Amp	 + HGF + Tepotinib	3
D01	0,127	WT	 + HGF + JNJ-38877605	3
D02	0,134	WT	 + HGF + JNJ-38877605	3
D03	0,151	WT	 + HGF + JNJ-38877605	3
D04	0,212	WT	 + HGF + JNJ-38877605	3
D05	0,263	WT	 + HGF + JNJ-38877605	3
D06	0,231	WT	 + HGF + JNJ-38877605	3
D07	0,125	WT_Amp	 + HGF + JNJ-38877605	3
D08	0,077	WT_Amp	 + HGF + JNJ-38877605	3
D09	0,078	WT_Amp	 + HGF + JNJ-38877605	3
D10	0,080	WT_Amp	 + HGF + JNJ-38877605	3
D11	0,088	WT_Amp	 + HGF + JNJ-38877605	3
D12	0,103	WT_Amp	 + HGF + JNJ-38877605	3
E01	0,265	D14	 - HGF	3
E02	0,325	D14	 - HGF	3
E03	0,331	D14	 - HGF	3
E04	0,210	D14	 - HGF	3
E05	0,418	D14	 - HGF	3
E06	0,408	D14	 - HGF	3
E07	0,146	D14_Amp	 - HGF	3
E08	0,097	D14_Amp	 - HGF	3
E09	0,109	D14_Amp	 - HGF	3
E10	0,115	D14_Amp	 - HGF	3
E11	0,113	D14_Amp	 - HGF	3
E12	0,122	D14_Amp	 - HGF	3
F01	0,369	D14	 + HGF	3
F02	0,390	D14	 + HGF	3
F03	0,327	D14	 + HGF	3
F04	0,475	D14	 + HGF	3
F05	0,513	D14	 + HGF	3
F06	0,448	D14	 + HGF	3
F07	0,156	D14_Amp	 + HGF	3
F08	0,171	D14_Amp	 + HGF	3
F09	0,105	D14_Amp	 + HGF	3
F10	0,153	D14_Amp	 + HGF	3
F11	0,144	D14_Amp	 + HGF	3
F12	0,206	D14_Amp	 + HGF	3
G01	0,246	D14	 + HGF + Tepotinib	3
G02	0,183	D14	 + HGF + Tepotinib	3
G03	0,379	D14	 + HGF + Tepotinib	3
G04	0,319	D14	 + HGF + Tepotinib	3
G05	0,208	D14	 + HGF + Tepotinib	3
G06	0,386	D14	 + HGF + Tepotinib	3
G07	0,103	D14_Amp	 + HGF + Tepotinib	3
G08	0,073	D14_Amp	 + HGF + Tepotinib	3
G09	0,080	D14_Amp	 + HGF + Tepotinib	3
G10	0,079	D14_Amp	 + HGF + Tepotinib	3
G11	0,074	D14_Amp	 + HGF + Tepotinib	3
G12	0,087	D14_Amp	 + HGF + Tepotinib	3
H01	0,207	D14	 + HGF + JNJ-38877605	3
H02	0,187	D14	 + HGF + JNJ-38877605	3
H03	0,243	D14	 + HGF + JNJ-38877605	3
H04	0,264	D14	 + HGF + JNJ-38877605	3
H05	0,390	D14	 + HGF + JNJ-38877605	3
H06	0,200	D14	 + HGF + JNJ-38877605	3
H07	0,083	D14_Amp	 + HGF + JNJ-38877605	3
H08	0,076	D14_Amp	 + HGF + JNJ-38877605	3
H09	0,083	D14_Amp	 + HGF + JNJ-38877605	3
H10	0,098	D14_Amp	 + HGF + JNJ-38877605	3
H11	0,066	D14_Amp	 + HGF + JNJ-38877605	3
H12	0,089	D14_Amp	 + HGF + JNJ-38877605	3
A01	0,156	WT	 - HGF	5
A02	0,154	WT	 - HGF	5
A03	0,176	WT	 - HGF	5
A04	0,140	WT	 - HGF	5
A05	0,195	WT	 - HGF	5
A06	0,413	WT	 - HGF	5
A07	0,503	WT_Amp	 - HGF	5
A08	0,495	WT_Amp	 - HGF	5
A09	0,339	WT_Amp	 - HGF	5
A10	0,561	WT_Amp	 - HGF	5
A11	0,350	WT_Amp	 - HGF	5
A12	0,350	WT_Amp	 - HGF	5
B01	0,172	WT	 + HGF	5
B02	0,160	WT	 + HGF	5
B03	0,172	WT	 + HGF	5
B04	0,156	WT	 + HGF	5
B05	0,193	WT	 + HGF	5
B06	0,180	WT	 + HGF	5
B07	0,344	WT_Amp	 + HGF	5
B08	0,276	WT_Amp	 + HGF	5
B09	0,260	WT_Amp	 + HGF	5
B10	0,286	WT_Amp	 + HGF	5
B11	0,372	WT_Amp	 + HGF	5
B12	0,375	WT_Amp	 + HGF	5
C01	0,235	WT	 + HGF + Tepotinib	5
C02	0,178	WT	 + HGF + Tepotinib	5
C03	0,179	WT	 + HGF + Tepotinib	5
C04	0,185	WT	 + HGF + Tepotinib	5
C05	0,179	WT	 + HGF + Tepotinib	5
C06	0,160	WT	 + HGF + Tepotinib	5
C07	0,148	WT_Amp	 + HGF + Tepotinib	5
C08	0,076	WT_Amp	 + HGF + Tepotinib	5
C09	0,080	WT_Amp	 + HGF + Tepotinib	5
C10	0,079	WT_Amp	 + HGF + Tepotinib	5
C11	0,085	WT_Amp	 + HGF + Tepotinib	5
C12	0,103	WT_Amp	 + HGF + Tepotinib	5
D01	0,126	WT	 + HGF + JNJ-38877605	5
D02	0,156	WT	 + HGF + JNJ-38877605	5
D03	0,161	WT	 + HGF + JNJ-38877605	5
D04	0,149	WT	 + HGF + JNJ-38877605	5
D05	0,345	WT	 + HGF + JNJ-38877605	5
D06	0,410	WT	 + HGF + JNJ-38877605	5
D07	0,069	WT_Amp	 + HGF + JNJ-38877605	5
D08	0,067	WT_Amp	 + HGF + JNJ-38877605	5
D09	0,075	WT_Amp	 + HGF + JNJ-38877605	5
D10	0,068	WT_Amp	 + HGF + JNJ-38877605	5
D11	0,098	WT_Amp	 + HGF + JNJ-38877605	5
D12	0,117	WT_Amp	 + HGF + JNJ-38877605	5
E01	0,403	D14	 - HGF	5
E02	0,302	D14	 - HGF	5
E03	0,295	D14	 - HGF	5
E04	0,281	D14	 - HGF	5
E05	0,302	D14	 - HGF	5
E06	0,307	D14	 - HGF	5
E07	0,066	D14_Amp	 - HGF	5
E08	0,074	D14_Amp	 - HGF	5
E09	0,069	D14_Amp	 - HGF	5
E10	0,067	D14_Amp	 - HGF	5
E11	0,079	D14_Amp	 - HGF	5
E12	0,090	D14_Amp	 - HGF	5
F01	1,142	D14	 + HGF	5
F02	1,037	D14	 + HGF	5
F03	1,087	D14	 + HGF	5
F04	0,990	D14	 + HGF	5
F05	0,934	D14	 + HGF	5
F06	1,033	D14	 + HGF	5
F07	0,168	D14_Amp	 + HGF	5
F08	0,152	D14_Amp	 + HGF	5
F09	0,111	D14_Amp	 + HGF	5
F10	0,087	D14_Amp	 + HGF	5
F11	0,131	D14_Amp	 + HGF	5
F12	0,166	D14_Amp	 + HGF	5
G01	0,465	D14	 + HGF + Tepotinib	5
G02	0,391	D14	 + HGF + Tepotinib	5
G03	0,317	D14	 + HGF + Tepotinib	5
G04	0,291	D14	 + HGF + Tepotinib	5
G05	0,310	D14	 + HGF + Tepotinib	5
G06	0,257	D14	 + HGF + Tepotinib	5
G07	0,062	D14_Amp	 + HGF + Tepotinib	5
G08	0,056	D14_Amp	 + HGF + Tepotinib	5
G09	0,050	D14_Amp	 + HGF + Tepotinib	5
G10	0,054	D14_Amp	 + HGF + Tepotinib	5
G11	0,051	D14_Amp	 + HGF + Tepotinib	5
G12	0,059	D14_Amp	 + HGF + Tepotinib	5
H01	0,351	D14	 + HGF + JNJ-38877605	5
H02	0,353	D14	 + HGF + JNJ-38877605	5
H03	0,335	D14	 + HGF + JNJ-38877605	5
H04	0,264	D14	 + HGF + JNJ-38877605	5
H05	0,353	D14	 + HGF + JNJ-38877605	5
H06	0,341	D14	 + HGF + JNJ-38877605	5
H07	0,048	D14_Amp	 + HGF + JNJ-38877605	5
H08	0,051	D14_Amp	 + HGF + JNJ-38877605	5
H09	0,050	D14_Amp	 + HGF + JNJ-38877605	5
H10	0,052	D14_Amp	 + HGF + JNJ-38877605	5
H11	0,054	D14_Amp	 + HGF + JNJ-38877605	5
H12	0,060	D14_Amp	 + HGF + JNJ-38877605	5
A01	0,155	WT	 - HGF	6
A02	0,140	WT	 - HGF	6
A03	0,157	WT	 - HGF	6
A04	0,161	WT	 - HGF	6
A05	0,200	WT	 - HGF	6
A06	0,196	WT	 - HGF	6
A07	0,474	WT_Amp	 - HGF	6
A08	0,459	WT_Amp	 - HGF	6
A09	0,447	WT_Amp	 - HGF	6
A10	0,402	WT_Amp	 - HGF	6
A11	0,471	WT_Amp	 - HGF	6
A12	0,495	WT_Amp	 - HGF	6
B01	0,158	WT	 + HGF	6
B02	0,180	WT	 + HGF	6
B03	0,199	WT	 + HGF	6
B04	0,191	WT	 + HGF	6
B05	0,230	WT	 + HGF	6
B06	0,251	WT	 + HGF	6
B07	0,438	WT_Amp	 + HGF	6
B08	0,433	WT_Amp	 + HGF	6
B09	0,431	WT_Amp	 + HGF	6
B10	0,414	WT_Amp	 + HGF	6
B11	0,566	WT_Amp	 + HGF	6
B12	0,506	WT_Amp	 + HGF	6
C01	0,216	WT	 + HGF + Tepotinib	6
C02	0,193	WT	 + HGF + Tepotinib	6
C03	0,229	WT	 + HGF + Tepotinib	6
C04	0,204	WT	 + HGF + Tepotinib	6
C05	0,232	WT	 + HGF + Tepotinib	6
C06	0,221	WT	 + HGF + Tepotinib	6
C07	0,156	WT_Amp	 + HGF + Tepotinib	6
C08	0,135	WT_Amp	 + HGF + Tepotinib	6
C09	0,142	WT_Amp	 + HGF + Tepotinib	6
C10	0,121	WT_Amp	 + HGF + Tepotinib	6
C11	0,137	WT_Amp	 + HGF + Tepotinib	6
C12	0,141	WT_Amp	 + HGF + Tepotinib	6
D01	0,163	WT	 + HGF + JNJ-38877605	6
D02	0,175	WT	 + HGF + JNJ-38877605	6
D03	0,212	WT	 + HGF + JNJ-38877605	6
D04	0,291	WT	 + HGF + JNJ-38877605	6
D05	0,347	WT	 + HGF + JNJ-38877605	6
D06	0,262	WT	 + HGF + JNJ-38877605	6
D07	0,228	WT_Amp	 + HGF + JNJ-38877605	6
D08	0,192	WT_Amp	 + HGF + JNJ-38877605	6
D09	0,123	WT_Amp	 + HGF + JNJ-38877605	6
D10	0,111	WT_Amp	 + HGF + JNJ-38877605	6
D11	0,130	WT_Amp	 + HGF + JNJ-38877605	6
D12	0,130	WT_Amp	 + HGF + JNJ-38877605	6
E01	0,430	D14	 - HGF	6
E02	0,370	D14	 - HGF	6
E03	0,393	D14	 - HGF	6
E04	0,384	D14	 - HGF	6
E05	0,504	D14	 - HGF	6
E06	0,435	D14	 - HGF	6
E07	0,213	D14_Amp	 - HGF	6
E08	0,185	D14_Amp	 - HGF	6
E09	0,181	D14_Amp	 - HGF	6
E10	0,111	D14_Amp	 - HGF	6
E11	0,111	D14_Amp	 - HGF	6
E12	0,120	D14_Amp	 - HGF	6
F01	1,510	D14	 + HGF	6
F02	1,134	D14	 + HGF	6
F03	1,645	D14	 + HGF	6
F04	1,517	D14	 + HGF	6
F05	1,555	D14	 + HGF	6
F06	1,442	D14	 + HGF	6
F07	0,306	D14_Amp	 + HGF	6
F08	0,241	D14_Amp	 + HGF	6
F09	0,175	D14_Amp	 + HGF	6
F10	0,161	D14_Amp	 + HGF	6
F11	0,190	D14_Amp	 + HGF	6
F12	0,188	D14_Amp	 + HGF	6
G01	0,578	D14	 + HGF + Tepotinib	6
G02	0,378	D14	 + HGF + Tepotinib	6
G03	0,412	D14	 + HGF + Tepotinib	6
G04	0,368	D14	 + HGF + Tepotinib	6
G05	0,406	D14	 + HGF + Tepotinib	6
G06	0,347	D14	 + HGF + Tepotinib	6
G07	0,096	D14_Amp	 + HGF + Tepotinib	6
G08	0,099	D14_Amp	 + HGF + Tepotinib	6
G09	0,109	D14_Amp	 + HGF + Tepotinib	6
G10	0,101	D14_Amp	 + HGF + Tepotinib	6
G11	0,098	D14_Amp	 + HGF + Tepotinib	6
G12	0,101	D14_Amp	 + HGF + Tepotinib	6
H01	0,362	D14	 + HGF + JNJ-38877605	6
H02	0,416	D14	 + HGF + JNJ-38877605	6
H03	0,406	D14	 + HGF + JNJ-38877605	6
H04	0,431	D14	 + HGF + JNJ-38877605	6
H05	0,445	D14	 + HGF + JNJ-38877605	6
H06	0,445	D14	 + HGF + JNJ-38877605	6
H07	0,104	D14_Amp	 + HGF + JNJ-38877605	6
H08	0,097	D14_Amp	 + HGF + JNJ-38877605	6
H09	0,098	D14_Amp	 + HGF + JNJ-38877605	6
H10	0,100	D14_Amp	 + HGF + JNJ-38877605	6
H11	0,100	D14_Amp	 + HGF + JNJ-38877605	6
H12	0,098	D14_Amp	 + HGF + JNJ-38877605	6
A01	0,036	WT	 - HGF	8
A02	0,036	WT	 - HGF	8
A03	0,043	WT	 - HGF	8
A04	0,066	WT	 - HGF	8
A05	0,053	WT	 - HGF	8
A06	0,070	WT	 - HGF	8
A07	0,242	WT_Amp	 - HGF	8
A08	0,191	WT_Amp	 - HGF	8
A09	0,110	WT_Amp	 - HGF	8
A10	0,113	WT_Amp	 - HGF	8
A11	0,136	WT_Amp	 - HGF	8
A12	0,209	WT_Amp	 - HGF	8
B01	0,038	WT	 + HGF	8
B02	0,040	WT	 + HGF	8
B03	0,037	WT	 + HGF	8
B04	0,036	WT	 + HGF	8
B05	0,050	WT	 + HGF	8
B06	0,037	WT	 + HGF	8
B07	0,145	WT_Amp	 + HGF	8
B08	0,190	WT_Amp	 + HGF	8
B09	0,195	WT_Amp	 + HGF	8
B10	0,491	WT_Amp	 + HGF	8
B11	0,093	WT_Amp	 + HGF	8
B12	0,073	WT_Amp	 + HGF	8
C01	0,038	WT	 + HGF + Tepotinib	8
C02	0,036	WT	 + HGF + Tepotinib	8
C03	0,036	WT	 + HGF + Tepotinib	8
C04	0,044	WT	 + HGF + Tepotinib	8
C05	0,041	WT	 + HGF + Tepotinib	8
C06	0,053	WT	 + HGF + Tepotinib	8
C07	0,045	WT_Amp	 + HGF + Tepotinib	8
C08	0,044	WT_Amp	 + HGF + Tepotinib	8
C09	0,038	WT_Amp	 + HGF + Tepotinib	8
C10	0,040	WT_Amp	 + HGF + Tepotinib	8
C11	0,042	WT_Amp	 + HGF + Tepotinib	8
C12	0,048	WT_Amp	 + HGF + Tepotinib	8
D01	0,039	WT	 + HGF + JNJ-38877605	8
D02	0,037	WT	 + HGF + JNJ-38877605	8
D03	0,037	WT	 + HGF + JNJ-38877605	8
D04	0,051	WT	 + HGF + JNJ-38877605	8
D05	0,050	WT	 + HGF + JNJ-38877605	8
D06	0,038	WT	 + HGF + JNJ-38877605	8
D07	0,042	WT_Amp	 + HGF + JNJ-38877605	8
D08	0,040	WT_Amp	 + HGF + JNJ-38877605	8
D09	0,039	WT_Amp	 + HGF + JNJ-38877605	8
D10	0,040	WT_Amp	 + HGF + JNJ-38877605	8
D11	0,044	WT_Amp	 + HGF + JNJ-38877605	8
D12	0,041	WT_Amp	 + HGF + JNJ-38877605	8
E01	0,160	D14	 - HGF	8
E02	0,142	D14	 - HGF	8
E03	0,159	D14	 - HGF	8
E04	0,258	D14	 - HGF	8
E05	0,405	D14	 - HGF	8
E06	0,295	D14	 - HGF	8
E07	0,054	D14_Amp	 - HGF	8
E08	0,050	D14_Amp	 - HGF	8
E09	0,051	D14_Amp	 - HGF	8
E10	0,049	D14_Amp	 - HGF	8
E11	0,055	D14_Amp	 - HGF	8
E12	0,052	D14_Amp	 - HGF	8
F01	0,505	D14	 + HGF	8
F02	0,715	D14	 + HGF	8
F03	1,157	D14	 + HGF	8
F04	1,133	D14	 + HGF	8
F05	0,113	D14	 + HGF	8
F06	0,118	D14	 + HGF	8
F07	0,060	D14_Amp	 + HGF	8
F08	0,085	D14_Amp	 + HGF	8
F09	0,054	D14_Amp	 + HGF	8
F10	0,072	D14_Amp	 + HGF	8
F11	0,056	D14_Amp	 + HGF	8
F12	0,086	D14_Amp	 + HGF	8
G01	0,040	D14	 + HGF + Tepotinib	8
G02	0,157	D14	 + HGF + Tepotinib	8
G03	0,037	D14	 + HGF + Tepotinib	8
G04	0,126	D14	 + HGF + Tepotinib	8
G05	0,116	D14	 + HGF + Tepotinib	8
G06	0,149	D14	 + HGF + Tepotinib	8
G07	0,049	D14_Amp	 + HGF + Tepotinib	8
G08	0,050	D14_Amp	 + HGF + Tepotinib	8
G09	0,048	D14_Amp	 + HGF + Tepotinib	8
G10	0,049	D14_Amp	 + HGF + Tepotinib	8
G11	0,049	D14_Amp	 + HGF + Tepotinib	8
G12	0,052	D14_Amp	 + HGF + Tepotinib	8
H01	0,172	D14	 + HGF + JNJ-38877605	8
H02	0,175	D14	 + HGF + JNJ-38877605	8
H03	0,038	D14	 + HGF + JNJ-38877605	8
H04	0,037	D14	 + HGF + JNJ-38877605	8
H05	0,172	D14	 + HGF + JNJ-38877605	8
H06	0,196	D14	 + HGF + JNJ-38877605	8
H07	0,058	D14_Amp	 + HGF + JNJ-38877605	8
H08	0,056	D14_Amp	 + HGF + JNJ-38877605	8
H09	0,056	D14_Amp	 + HGF + JNJ-38877605	8
H10	0,052	D14_Amp	 + HGF + JNJ-38877605	8
H11	0,050	D14_Amp	 + HGF + JNJ-38877605	8
H12	0,055	D14_Amp	 + HGF + JNJ-38877605	8
