	NCIH596Sskp140h1_h0	NCIH596Sskp140h2_h0	NCIH596S3skp143hHGF1_h3	NCIH596S3skp143hHGF2_h3	NCIH596S6skp146hHGF1_h6	NCIH596S6skp146hHGF2_h6	NCIH596S12skp1412hHGF1_h12	NCIH596S12skp1412hHGF2_h12
CYP26B1:ENSG00000003137	266	380	298	423	349	720	779	295
ICA1:ENSG00000003147	5	10	6	7	5	9	6	5
DBNDD1:ENSG00000003249	70	103	42	64	37	60	58	40
ALS2:ENSG00000003393	619	862	601	916	667	1219	1137	548
CASP10:ENSG00000003400	709	904	279	470	200	442	352	210
CFLAR:ENSG00000003402	3440	4177	3622	5147	3271	6185	4645	1822
TFPI:ENSG00000003436	2392	3125	1616	2172	1138	2109	1257	719
NDUFAF7:ENSG00000003509	227	340	191	240	206	320	298	140
RBM5:ENSG00000003756	1103	1486	654	1042	870	1467	1822	641
MTMR7:ENSG00000003987	0	0	0	1	0	3	2	0
SLC7A2:ENSG00000003989	3	5	1	6	2	9	8	3
ARF5:ENSG00000004059	925	1230	852	1242	883	1646	744	696
SARM1:ENSG00000004139	184	273	121	196	67	138	88	27
POLDIP2:ENSG00000004142	1654	2080	1371	2004	1696	3021	1745	1356
PLXND1:ENSG00000004399	640	858	452	669	451	1029	903	410
AK2:ENSG00000004455	2152	2861	1925	2891	2430	4257	2676	1981
CD38:ENSG00000004468	7	6	9	5	4	4	5	0
FKBP4:ENSG00000004478	986	1271	1109	1762	1484	2471	1685	1071
KDM1A:ENSG00000004487	1145	1545	971	1491	1182	2118	1772	995
RBM6:ENSG00000004534	641	919	475	760	613	1210	1239	469
CAMKK1:ENSG00000004660	344	515	126	190	72	131	308	129
RECQL:ENSG00000004700	733	1036	622	869	680	1180	1178	592
VPS50:ENSG00000004766	373	481	230	355	293	477	382	215
HSPB6:ENSG00000004776	23	35	23	30	19	24	20	10
ARHGAP33:ENSG00000004777	291	478	108	160	110	189	384	96
NDUFAB1:ENSG00000004779	932	1325	910	1339	1049	1738	902	902
PDK4:ENSG00000004799	7	9	1	1	0	2	2	7
SLC22A16:ENSG00000004809	0	0	0	0	0	0	0	0
ZMYND10:ENSG00000004838	28	23	13	36	21	27	10	14
ABCB5:ENSG00000004846	0	0	1	0	0	0	0	0
ARX:ENSG00000004848	0	0	0	0	0	0	0	0
SLC25A13:ENSG00000004864	334	473	345	492	445	793	570	357
ST7:ENSG00000004866	397	515	280	406	355	680	577	328
CDC27:ENSG00000004897	1182	1482	902	1187	964	1641	1273	855
SLC4A1:ENSG00000004939	0	0	0	0	0	0	0	0
CALCR:ENSG00000004948	1	0	0	0	0	0	0	0
HCCS:ENSG00000004961	699	992	725	1005	800	1561	827	602
DVL2:ENSG00000004975	760	872	453	629	557	914	703	402
PRSS22:ENSG00000005001	41	35	21	42	17	34	10	14
UPF1:ENSG00000005007	1530	2206	1857	2788	2275	4142	3328	1594
SKAP2:ENSG00000005020	1573	1992	1268	1911	1528	2459	1911	1056
SLC25A5:ENSG00000005022	7178	9672	6413	9162	7630	13704	7613	6709
MCUB:ENSG00000005059	224	290	156	216	142	223	188	141
HOXA11:ENSG00000005073	59	84	65	112	87	147	91	78
POLR2J:ENSG00000005075	370	464	242	377	291	513	279	260
DHX33:ENSG00000005100	764	1003	944	1330	1234	2142	1547	794
MEOX1:ENSG00000005102	1	2	0	1	0	0	0	0
THSD7A:ENSG00000005108	5	5	9	9	7	5	6	1
LIG3:ENSG00000005156	209	319	187	265	250	438	356	195
RPAP3:ENSG00000005175	452	656	426	631	511	825	770	430
ACSM3:ENSG00000005187	8	8	1	5	1	2	3	1
REXO5:ENSG00000005189	114	118	46	66	44	68	67	41
CIAPIN1:ENSG00000005194	517	709	484	678	593	1132	679	438
SPPL2B:ENSG00000005206	925	1371	551	873	705	1171	1529	633
FAM214B:ENSG00000005238	505	756	545	918	623	1097	995	561
COPZ2:ENSG00000005243	94	97	45	88	50	102	43	43
PRKAR2B:ENSG00000005249	32	36	16	35	26	40	23	14
MSL3:ENSG00000005302	269	397	205	280	250	443	373	223
CREBBP:ENSG00000005339	2748	3603	1756	2550	1758	3316	4292	1547
TSPOAP1:ENSG00000005379	3	8	3	3	0	3	1	2
MPO:ENSG00000005381	0	0	0	0	0	0	0	0
PON1:ENSG00000005421	0	0	0	0	0	1	0	0
GCFC2:ENSG00000005436	133	194	158	203	189	323	232	156
WDR54:ENSG00000005448	248	296	159	218	158	280	190	131
CROT:ENSG00000005469	914	1230	473	678	185	314	260	168
ABCB4:ENSG00000005471	1	2	0	0	0	1	0	0
KMT2E:ENSG00000005483	974	1335	606	895	606	1044	1348	536
RHBDD2:ENSG00000005486	989	1205	805	1077	920	1630	935	692
SOX8:ENSG00000005513	0	0	0	0	0	0	0	0
IBTK:ENSG00000005700	659	836	557	791	625	1065	1017	483
ZNF195:ENSG00000005801	271	391	344	477	387	620	514	216
MYCBP2:ENSG00000005810	1454	1821	920	1289	900	1740	1862	684
FBXL3:ENSG00000005812	532	718	389	485	365	644	565	346
ITGAL:ENSG00000005844	3	7	3	2	0	5	1	0
PDK2:ENSG00000005882	413	468	332	542	265	449	338	117
ITGA3:ENSG00000005884	19320	26075	18091	26262	22771	46727	34967	19005
ZFX:ENSG00000005889	848	1071	519	758	517	955	942	391
LAMP2:ENSG00000005893	6633	8474	4731	6479	5130	10174	6349	4527
ITGA2B:ENSG00000005961	27	48	11	25	10	21	23	7
ASB4:ENSG00000005981	0	0	0	0	0	1	0	0
GDE1:ENSG00000006007	1131	1489	767	1262	844	1641	1063	877
REX1BD:ENSG00000006015	81	149	76	130	83	131	92	59
CRLF1:ENSG00000006016	210	254	156	179	134	321	213	140
OSBPL7:ENSG00000006025	125	160	48	86	54	98	205	31
TMEM98:ENSG00000006042	0	0	0	0	0	0	0	0
YBX2:ENSG00000006047	125	134	44	63	37	54	43	16
KRT33A:ENSG00000006059	0	0	0	0	0	1	0	0
MAP3K14:ENSG00000006062	415	583	368	626	321	561	410	187
ABCC8:ENSG00000006071	0	0	0	0	0	0	0	0
CACNG3:ENSG00000006116	1	0	0	0	0	0	1	0
TMEM132A:ENSG00000006118	1012	1258	638	1063	776	1460	1046	602
AP2B1:ENSG00000006125	4351	5912	3448	4785	3593	6183	4834	2868
TAC1:ENSG00000006128	0	0	0	0	0	0	0	0
ZNF263:ENSG00000006194	771	1063	874	1274	920	1679	972	581
CX3CL1:ENSG00000006210	3	5	5	10	3	6	1	1
SPATA20:ENSG00000006282	452	631	282	496	344	536	596	236
CACNA1G:ENSG00000006283	19	34	14	17	10	13	7	6
TNFRSF12A:ENSG00000006327	3066	3992	5568	7669	6409	12825	4572	3716
DLX6:ENSG00000006377	22	16	3	5	4	9	12	6
MAP3K9:ENSG00000006432	406	600	1004	1401	858	1515	1394	461
RALA:ENSG00000006451	1074	1366	1009	1474	1167	2160	1475	978
BAIAP2L1:ENSG00000006453	887	1221	719	1100	868	1522	1601	786
KDM7A:ENSG00000006459	170	196	345	467	365	667	464	202
ETV1:ENSG00000006468	36	47	15	30	22	21	49	22
AGK:ENSG00000006530	308	421	270	425	367	648	449	257
ALDH3B1:ENSG00000006534	143	172	96	120	70	98	62	29
TTC22:ENSG00000006555	104	112	45	72	37	76	80	31
PHTF2:ENSG00000006576	1296	1652	1061	1408	1106	2048	1491	914
CCL26:ENSG00000006606	15	18	11	17	10	17	6	6
FARP2:ENSG00000006607	347	496	445	651	426	724	580	293
USH1C:ENSG00000006611	0	0	0	1	0	0	0	0
GGCT:ENSG00000006625	640	996	638	870	766	1379	1027	732
DBF4:ENSG00000006634	495	571	327	495	376	756	440	288
TBXA2R:ENSG00000006638	26	37	10	18	19	30	44	37
IFRD1:ENSG00000006652	718	950	864	1141	903	1644	967	552
LGALS14:ENSG00000006659	0	0	0	0	0	0	0	0
COX10:ENSG00000006695	330	390	258	365	327	563	296	208
GTF2IRD1:ENSG00000006704	684	872	384	569	276	456	704	366
PAF1:ENSG00000006712	1059	1449	803	1263	919	1610	1124	745
VPS41:ENSG00000006715	1595	2159	1322	1819	1228	2340	1479	920
ARHGAP44:ENSG00000006740	4	0	0	2	2	3	1	0
ELAC2:ENSG00000006744	833	1159	704	1139	1023	1832	1484	801
SCIN:ENSG00000006747	197	284	103	129	104	196	198	89
ARSD:ENSG00000006756	626	800	427	632	401	798	427	248
PNPLA4:ENSG00000006757	179	229	124	157	117	195	100	82
MYH13:ENSG00000006788	0	0	0	0	0	0	0	0
ADIPOR2:ENSG00000006831	1414	1894	1386	2031	1470	2670	1880	1205
CDKL3:ENSG00000006837	9	16	10	10	0	10	3	7
UPP2:ENSG00000007001	0	2	0	0	0	0	0	0
PRSS21:ENSG00000007038	0	0	0	0	0	0	0	1
MARK4:ENSG00000007047	365	515	394	628	450	788	464	324
PROM1:ENSG00000007062	9	10	6	4	1	7	0	0
CCDC124:ENSG00000007080	509	646	384	595	528	878	516	464
CEACAM21:ENSG00000007129	0	0	0	0	0	0	0	0
PAFAH1B1:ENSG00000007168	2607	3418	2118	2919	2142	3646	3165	1949
NOS2:ENSG00000007171	0	0	0	0	0	1	0	0
DNAH9:ENSG00000007174	1	2	1	2	1	2	1	1
KIAA0100:ENSG00000007202	3433	4728	2628	4032	3254	6286	5692	2776
SLC13A2:ENSG00000007216	0	0	0	0	0	0	0	0
GAS7:ENSG00000007237	0	0	0	0	0	0	0	0
TRAPPC6A:ENSG00000007255	75	64	67	92	46	91	31	32
MATK:ENSG00000007264	0	1	0	0	1	1	0	0
CEACAM7:ENSG00000007306	0	0	0	0	0	0	0	0
CD79B:ENSG00000007312	0	0	0	0	0	0	1	1
SCN4A:ENSG00000007314	11	6	1	3	3	2	3	3
ST7L:ENSG00000007341	176	175	121	179	111	257	152	104
TKTL1:ENSG00000007350	0	1	0	1	1	1	2	1
PAX6:ENSG00000007372	105	120	18	19	19	35	78	44
RPUSD1:ENSG00000007376	878	1071	828	1196	1153	2070	1156	802
RHBDF1:ENSG00000007384	520	753	424	715	555	940	1252	486
LUC7L:ENSG00000007392	673	932	522	815	691	1208	1365	531
CACNA2D2:ENSG00000007402	4	7	9	5	3	7	3	1
BAIAP3:ENSG00000007516	256	384	145	231	120	213	198	89
TSR3:ENSG00000007520	723	961	682	875	857	1508	791	689
PIGQ:ENSG00000007541	1379	1795	781	1184	999	1894	1635	867
CRAMP1:ENSG00000007545	789	1081	589	897	601	1020	1472	474
TEAD3:ENSG00000007866	603	795	403	651	309	518	710	343
SELE:ENSG00000007908	1	3	1	2	0	0	0	0
DNAJC11:ENSG00000007923	1094	1483	915	1361	1205	2075	1798	903
FMO3:ENSG00000007933	1	0	1	0	0	0	0	0
MYLIP:ENSG00000007944	192	268	152	210	97	190	147	94
NOX1:ENSG00000007952	0	0	0	1	0	1	0	0
E2F2:ENSG00000007968	252	335	53	86	80	120	205	97
PSMB1:ENSG00000008018	1540	2190	1279	1914	1474	2436	1583	1206
SYN1:ENSG00000008056	1	0	0	1	1	0	0	0
JARID2:ENSG00000008083	1257	1480	1280	1757	823	1507	1521	727
CDKL5:ENSG00000008086	210	323	146	215	101	208	253	101
CAMK1G:ENSG00000008118	0	0	0	0	1	1	0	0
CDK11A:ENSG00000008128	336	480	265	437	319	606	597	208
NADK:ENSG00000008130	1058	1385	802	1243	877	1733	1384	767
TFAP2B:ENSG00000008196	0	0	0	0	0	0	0	0
TFAP2D:ENSG00000008197	0	0	0	0	0	0	0	0
DLEC1:ENSG00000008226	1	1	0	2	0	0	1	0
CYTH3:ENSG00000008256	1613	2254	1442	1886	1504	2859	2466	1259
ADAM22:ENSG00000008277	168	213	69	129	59	123	90	42
SYPL1:ENSG00000008282	2333	3033	1704	2279	1779	3345	2218	1515
CYB561:ENSG00000008283	996	1375	795	1114	933	1835	1320	816
SPAG9:ENSG00000008294	1140	1561	1380	1998	1379	2382	2233	1039
CELSR3:ENSG00000008300	1616	2203	860	1369	1052	1947	2526	904
AASS:ENSG00000008311	46	61	19	40	19	57	32	16
PLEKHG6:ENSG00000008323	47	58	10	13	3	10	10	8
SS18L2:ENSG00000008324	92	125	93	111	85	149	81	74
MPND:ENSG00000008382	120	194	96	148	111	193	88	98
MGST1:ENSG00000008394	2101	2688	1646	2186	1825	2980	1899	1199
CRY1:ENSG00000008405	115	135	191	249	192	354	305	151
PGLYRP1:ENSG00000008438	0	0	0	0	0	0	0	0
NFIX:ENSG00000008441	1113	1345	753	1015	622	1148	1127	559
ST3GAL1:ENSG00000008513	608	815	2401	3214	2241	4477	1902	1120
MMP25:ENSG00000008516	10	6	11	19	6	11	10	2
IL32:ENSG00000008517	50	70	42	71	38	77	43	47
PKD1:ENSG00000008710	3737	5353	2512	3604	2357	4297	5127	1628
MAPK8IP2:ENSG00000008735	208	267	130	211	96	201	136	98
MED24:ENSG00000008838	663	920	428	697	552	995	960	477
RHOBTB2:ENSG00000008853	662	872	589	780	514	824	713	400
HEATR5B:ENSG00000008869	440	557	253	398	317	610	566	231
SEC62:ENSG00000008952	2266	2813	1843	2844	2316	4422	3232	1907
RPS20:ENSG00000008988	4277	5501	3739	5607	4228	7321	3548	3723
CSDE1:ENSG00000009307	5024	6435	4078	5801	4540	7740	5581	3493
UBE3C:ENSG00000009335	1362	1775	1586	2159	2039	3292	2343	1388
REV3L:ENSG00000009413	910	1243	488	728	525	963	1293	507
TENM1:ENSG00000009694	5	1	1	5	1	2	1	0
PAX7:ENSG00000009709	0	0	0	0	0	0	0	0
MASP2:ENSG00000009724	2	0	1	1	2	1	6	0
IYD:ENSG00000009765	0	0	0	0	0	0	0	0
FAM76A:ENSG00000009780	141	159	86	124	94	159	160	80
TRAF3IP3:ENSG00000009790	0	0	0	0	0	0	0	0
POMT2:ENSG00000009830	442	643	282	505	323	649	640	286
VTA1:ENSG00000009844	562	742	538	776	668	1218	726	530
MLXIPL:ENSG00000009950	16	27	9	15	10	11	16	2
BAZ1B:ENSG00000009954	1898	2450	1575	2379	1829	3102	2986	1405
RANBP9:ENSG00000010017	1035	1319	1021	1469	985	1747	1248	742
ETV7:ENSG00000010030	106	114	56	62	25	56	13	15
SPRTN:ENSG00000010072	315	416	322	416	297	560	375	218
EEF1AKNMT:ENSG00000010165	663	883	538	759	811	1407	918	579
DYRK4:ENSG00000010219	14	25	14	19	8	20	12	5
ZNF207:ENSG00000010244	2231	2969	1926	2939	2412	4119	3120	1890
UQCRC1:ENSG00000010256	2262	2857	1587	2478	1881	3019	1684	1376
STARD3NL:ENSG00000010270	607	774	496	695	524	910	687	468
CD9:ENSG00000010278	2449	2877	1653	2381	1799	3656	1689	1413
HHATL:ENSG00000010282	0	0	0	0	0	0	0	0
NCAPD2:ENSG00000010292	2674	3699	1145	1737	877	1458	1676	852
IFFO1:ENSG00000010295	1	13	14	12	14	25	14	4
GIPR:ENSG00000010310	120	147	52	77	31	72	121	45
PHF7:ENSG00000010318	62	70	22	49	28	41	42	18
SEMA3G:ENSG00000010319	2	3	1	2	2	5	5	3
NISCH:ENSG00000010322	854	1214	579	949	661	1114	1325	420
STAB1:ENSG00000010327	1	1	0	0	0	0	0	0
FUZ:ENSG00000010361	163	196	116	149	84	129	76	47
SLC6A13:ENSG00000010379	0	1	0	1	0	1	1	1
IDS:ENSG00000010404	1303	1648	1154	1633	1261	2150	1619	932
PRSS3:ENSG00000010438	1	1	0	0	0	4	0	0
ZNF200:ENSG00000010539	278	372	390	455	345	691	383	212
CD4:ENSG00000010610	0	0	0	0	0	0	0	2
LRRC23:ENSG00000010626	32	40	41	38	30	38	29	23
BTK:ENSG00000010671	1	3	2	6	1	2	0	0
HFE:ENSG00000010704	665	785	357	521	278	457	278	153
SCMH1:ENSG00000010803	502	670	320	478	439	691	684	372
FYN:ENSG00000010810	39	43	33	38	25	83	37	28
HIVEP2:ENSG00000010818	856	1114	629	876	669	1152	1533	586
FMO1:ENSG00000010932	0	0	1	1	0	0	0	0
ELOA:ENSG00000011007	1019	1410	1451	2077	1606	2877	1705	1005
LYPLA2:ENSG00000011009	960	1220	997	1575	1217	2149	1205	882
CLCN6:ENSG00000011021	615	873	381	572	443	807	1179	382
MRC2:ENSG00000011028	595	822	402	598	361	913	509	302
NME1-NME2:ENSG00000011052	33	112	26	123	52	127	65	47
SLC6A7:ENSG00000011083	3	1	0	0	0	0	0	0
TSPAN9:ENSG00000011105	519	590	369	558	411	784	478	321
BTBD7:ENSG00000011114	870	1113	693	997	786	1494	1436	642
APBA3:ENSG00000011132	278	353	188	292	227	366	370	209
MKS1:ENSG00000011143	121	184	51	96	55	90	93	53
ABHD5:ENSG00000011198	204	267	259	305	288	517	265	196
ANOS1:ENSG00000011201	229	236	138	157	106	269	91	52
AKAP8L:ENSG00000011243	780	1025	567	929	638	1139	1132	513
MBTD1:ENSG00000011258	203	267	159	200	136	225	260	94
UTP18:ENSG00000011260	263	381	437	548	575	933	519	388
RNF216:ENSG00000011275	1856	2615	1344	1931	1532	2678	3302	1344
TTC19:ENSG00000011295	579	749	690	945	736	1412	788	485
PTBP1:ENSG00000011304	5250	7593	4893	6780	5438	10382	7921	4745
DPF1:ENSG00000011332	36	44	17	40	15	53	63	24
SYT7:ENSG00000011347	144	166	137	205	237	451	511	222
LARS2:ENSG00000011376	293	388	180	305	281	467	419	246
PIK3C2A:ENSG00000011405	1539	2054	1381	2023	1244	2217	2355	1024
PLAUR:ENSG00000011422	854	1098	1874	2609	1844	3542	1834	1134
ANLN:ENSG00000011426	12569	17198	5717	8751	5781	9825	11167	5954
WIZ:ENSG00000011451	976	1398	1006	1412	1207	2158	1944	869
RABGAP1:ENSG00000011454	792	1075	443	653	438	806	775	460
DCN:ENSG00000011465	0	2	0	0	0	1	0	0
QPCTL:ENSG00000011478	302	356	170	278	207	380	225	171
PPP5C:ENSG00000011485	1012	1344	844	1210	1211	2022	1674	977
CEP68:ENSG00000011523	272	361	181	209	154	235	193	95
MAP4K3:ENSG00000011566	452	562	316	534	414	659	654	298
ZBTB32:ENSG00000011590	5	6	0	1	2	2	1	1
TYROBP:ENSG00000011600	0	0	0	0	0	0	0	0
TMEM159:ENSG00000011638	177	215	145	206	126	254	192	154
GABRA3:ENSG00000011677	0	2	0	1	0	0	7	1
BRCA1:ENSG00000012048	620	794	228	385	241	403	567	206
ERCC1:ENSG00000012061	1071	1578	1362	1881	1856	3501	2296	1613
CD22:ENSG00000012124	6	15	8	7	5	12	6	2
SEMA3B:ENSG00000012171	354	423	206	282	209	351	239	119
MBTPS2:ENSG00000012174	648	771	427	567	448	956	634	326
PRICKLE3:ENSG00000012211	341	387	220	353	249	414	338	179
LTF:ENSG00000012223	0	2	1	2	0	0	0	1
EXTL3:ENSG00000012232	1861	2389	1295	1901	1529	2715	2136	1314
NR1H4:ENSG00000012504	0	0	0	0	0	0	0	0
ELOVL5:ENSG00000012660	4199	5459	3799	5413	4100	7376	5388	3136
ALOX5:ENSG00000012779	326	426	214	320	165	245	188	77
KDM5D:ENSG00000012817	0	0	0	0	0	0	0	0
CALCOCO1:ENSG00000012822	842	1049	485	671	270	465	414	158
UBR7:ENSG00000012963	770	1080	689	1048	713	1427	1018	670
MAP4K5:ENSG00000012983	816	1176	808	1223	907	1490	1470	776
EHD3:ENSG00000013016	179	224	166	192	176	338	212	141
PSMC4:ENSG00000013275	1342	1819	1181	1729	1507	2589	1600	1263
MAN2B2:ENSG00000013288	1317	1691	841	1214	983	1922	1414	756
SLC7A14:ENSG00000013293	0	0	0	0	0	0	0	0
CLDN11:ENSG00000013297	38	53	13	34	20	33	22	15
SLC25A39:ENSG00000013306	1193	1568	973	1540	1280	2104	1770	1048
MVP:ENSG00000013364	4246	5144	2780	4150	2670	4618	3509	2049
NUB1:ENSG00000013374	821	925	488	722	364	697	410	316
PGM3:ENSG00000013375	588	804	518	812	694	1347	1160	668
RWDD2A:ENSG00000013392	56	61	36	41	34	79	67	40
CLK1:ENSG00000013441	1793	2203	1016	1892	1453	2677	2547	1150
POLR3B:ENSG00000013503	224	287	156	226	259	374	330	177
ANGEL1:ENSG00000013523	404	516	280	405	426	776	709	360
RNF14:ENSG00000013561	600	816	533	771	700	1228	707	505
DNASE1L1:ENSG00000013563	977	1202	723	1109	776	1610	1127	734
DDX11:ENSG00000013573	398	607	194	336	229	438	746	237
HEBP1:ENSG00000013583	276	414	256	345	251	477	327	235
GPRC5A:ENSG00000013588	3475	4615	4258	5799	3391	6335	3201	1563
MAMLD1:ENSG00000013619	132	203	424	605	316	575	452	171
CD6:ENSG00000013725	13	18	4	10	9	24	24	12
TACC3:ENSG00000013810	1871	2672	849	1368	1064	1852	1916	976
UFL1:ENSG00000014123	487	592	206	332	298	537	512	245
POLA2:ENSG00000014138	509	753	273	432	387	641	756	409
ZC3H3:ENSG00000014164	353	485	343	470	427	699	518	264
CAPN1:ENSG00000014216	4487	5914	3095	4583	3271	5857	4530	2837
ACP3:ENSG00000014257	83	95	59	56	28	68	45	29
MDH1:ENSG00000014641	2135	2761	1517	2257	1579	2751	1562	1089
SLC30A9:ENSG00000014824	987	1220	809	1215	921	1540	1187	668
MTMR11:ENSG00000014914	237	293	144	233	182	340	423	192
COX15:ENSG00000014919	489	646	305	405	271	498	360	243
CCDC88C:ENSG00000015133	847	1133	360	581	365	650	1030	382
YAF2:ENSG00000015153	84	109	90	111	108	149	99	90
ZMYND11:ENSG00000015171	604	881	508	723	665	1051	810	464
WAS:ENSG00000015285	7	8	4	3	3	8	4	4
DPEP1:ENSG00000015413	0	1	1	0	0	2	0	0
BID:ENSG00000015475	207	267	219	317	235	429	197	186
MATR3:ENSG00000015479	4488	5535	3745	5219	4474	7491	5836	3362
NPC1L1:ENSG00000015520	7	3	1	8	3	6	5	2
XYLT2:ENSG00000015532	496	653	295	446	318	703	626	389
RGPD5:ENSG00000015568	245	343	121	430	336	564	594	49
STMN4:ENSG00000015592	0	0	0	0	0	0	0	0
NUDCD3:ENSG00000015676	2782	3764	1984	3143	2742	5337	4037	2479
ISL1:ENSG00000016082	92	138	78	101	115	195	95	55
CHDH:ENSG00000016391	1	0	0	0	0	0	1	0
IL20RA:ENSG00000016402	6	4	5	1	2	4	3	4
CLCA1:ENSG00000016490	0	0	0	0	0	0	0	0
CLCA4:ENSG00000016602	47	64	29	46	16	56	19	12
GLT8D1:ENSG00000016864	547	677	327	467	341	708	541	322
ATP2C1:ENSG00000017260	3439	4673	3091	4370	3988	7475	5253	3053
IGF1:ENSG00000017427	0	0	0	0	0	0	1	0
SLC38A5:ENSG00000017483	1	0	0	2	0	2	1	0
RALBP1:ENSG00000017797	1060	1399	864	1175	813	1523	1121	731
RUFY3:ENSG00000018189	315	426	214	360	226	386	533	180
CNTN1:ENSG00000018236	317	409	186	232	236	451	409	241
SLC11A1:ENSG00000018280	1	5	1	6	1	1	1	2
WWTR1:ENSG00000018408	968	1263	1840	2604	1963	3653	2452	1448
AGPS:ENSG00000018510	1392	1802	998	1391	1128	1921	1522	837
ZNF806:ENSG00000018607	0	0	0	0	0	0	0	0
CXorf56:ENSG00000018610	572	749	552	743	584	1063	488	410
ATP1A2:ENSG00000018625	3	1	0	0	0	3	0	0
TTC27:ENSG00000018699	319	437	275	412	422	822	483	361
ZNF582:ENSG00000018869	30	43	31	29	28	48	33	20
VSIG2:ENSG00000019102	0	1	0	0	0	0	0	0
PHLDB1:ENSG00000019144	1884	2530	849	1299	685	1111	1875	789
MARCO:ENSG00000019169	1	0	0	0	0	0	1	0
CYP24A1:ENSG00000019186	92	114	86	86	23	76	16	12
PRDM11:ENSG00000019485	266	337	136	230	143	231	237	114
SYT13:ENSG00000019505	2	3	0	0	2	2	0	0
SNAI2:ENSG00000019549	894	1282	773	1010	888	1628	963	604
CD74:ENSG00000019582	2202	3164	1730	2135	1284	4074	1646	1542
HGF:ENSG00000019991	0	0	0	0	0	0	0	0
ZRANB1:ENSG00000019995	438	609	327	420	353	601	534	308
NCDN:ENSG00000020129	780	1091	918	1241	1114	2019	1306	706
ADGRA2:ENSG00000020181	129	158	71	102	66	133	81	36
CCT8L1P:ENSG00000020219	1	0	0	0	0	0	0	0
ZFP64:ENSG00000020256	672	814	315	464	450	704	717	440
MNAT1:ENSG00000020426	253	310	235	365	271	469	395	233
SAMD4A:ENSG00000020577	766	1120	1812	2530	1450	2546	2989	1202
RUNX3:ENSG00000020633	22	38	37	51	14	76	40	27
MRE11:ENSG00000020922	582	770	309	417	268	414	549	227
PLEKHB1:ENSG00000021300	18	11	4	19	15	13	2	6
SERPINB1:ENSG00000021355	708	881	598	766	612	1255	724	566
CYP3A43:ENSG00000021461	0	0	0	0	0	0	0	0
SLC7A9:ENSG00000021488	1	4	3	1	0	1	1	1
SPAST:ENSG00000021574	284	349	227	288	209	425	346	183
NRXN3:ENSG00000021645	50	78	37	46	31	71	73	29
OSBPL5:ENSG00000021762	497	671	417	715	555	1015	847	416
AQR:ENSG00000021776	1277	1741	995	1424	1148	1972	1484	819
CPS1:ENSG00000021826	6	7	2	5	0	6	0	0
C8B:ENSG00000021852	1	0	0	0	0	0	0	0
FHL1:ENSG00000022267	2088	2816	1980	2710	1976	3539	2387	1507
RTF2:ENSG00000022277	2514	3099	2121	2935	2406	4055	2374	1889
GABRA1:ENSG00000022355	0	0	2	1	0	3	1	0
