	EBC1SAMP0h1_h0	EBC1SAMP0h2_h0	EBC1S3AMP3hHGF1_h3	EBC1S3AMP3hHGF2_h3	EBC1S6AMP6hHGF1_h6	EBC1S6AMP6hHGF2_h6	EBC1S12AMP12hHGF1_h12	EBC1S12AMP12hHGF2_h12
GCFC2:ENSG00000005436	45	25	42	55	57	48	50	87
WDR54:ENSG00000005448	217	190	146	217	196	167	116	218
CROT:ENSG00000005469	58	60	31	36	35	31	17	37
ABCB4:ENSG00000005471	1	1	1	0	0	1	0	0
KMT2E:ENSG00000005483	3908	3781	3273	4089	6423	5419	4498	6804
RHBDD2:ENSG00000005486	996	1026	966	1303	1485	1227	1502	2458
SOX8:ENSG00000005513	1	4	3	2	3	6	7	11
IBTK:ENSG00000005700	1211	1209	854	1070	1399	1320	1267	2006
ZNF195:ENSG00000005801	579	578	374	481	698	658	659	1054
MYCBP2:ENSG00000005810	2184	2198	1597	2132	2680	2326	2507	3974
FBXL3:ENSG00000005812	747	710	708	925	1140	1054	1030	1723
ITGAL:ENSG00000005844	0	0	0	0	1	0	0	0
PDK2:ENSG00000005882	269	288	226	269	218	190	128	217
ITGA3:ENSG00000005884	9514	10030	8369	11057	14483	12550	8650	15666
ZFX:ENSG00000005889	1007	1023	661	814	1220	994	1077	1711
LAMP2:ENSG00000005893	2104	2211	1799	2339	3192	2948	2895	4992
ITGA2B:ENSG00000005961	1	2	2	6	4	15	6	15
ASB4:ENSG00000005981	0	0	0	0	0	0	0	0
GDE1:ENSG00000006007	1370	1369	1125	1438	1634	1517	1365	2273
REX1BD:ENSG00000006015	70	68	50	47	56	62	32	75
CRLF1:ENSG00000006016	0	0	0	1	1	1	1	3
OSBPL7:ENSG00000006025	452	432	254	356	420	330	290	489
TMEM98:ENSG00000006042	0	1	0	0	1	0	1	0
YBX2:ENSG00000006047	2	1	0	4	1	0	0	1
KRT33A:ENSG00000006059	0	0	0	0	0	0	0	0
MAP3K14:ENSG00000006062	1626	1640	2198	3185	3506	2818	2241	3976
ABCC8:ENSG00000006071	0	0	0	0	1	0	0	0
CACNG3:ENSG00000006116	0	0	0	0	0	0	0	0
TMEM132A:ENSG00000006118	1179	1409	619	845	1260	1086	826	1358
AP2B1:ENSG00000006125	3629	3729	3188	4365	4831	4132	3941	6590
TAC1:ENSG00000006128	0	0	0	0	0	0	0	0
ZNF263:ENSG00000006194	1002	986	807	1127	1500	1254	1125	2107
CX3CL1:ENSG00000006210	35	33	52	67	73	61	27	62
SPATA20:ENSG00000006282	1297	1313	844	1181	1181	1046	938	1689
CACNA1G:ENSG00000006283	10	8	12	15	30	32	24	38
TNFRSF12A:ENSG00000006327	9860	8960	9593	12493	16332	13564	14694	27608
DLX6:ENSG00000006377	0	0	0	0	0	0	0	0
MAP3K9:ENSG00000006432	881	990	605	834	1101	960	785	1269
RALA:ENSG00000006451	1025	968	682	805	807	717	728	1262
BAIAP2L1:ENSG00000006453	4536	4365	4414	5563	6551	5544	5021	8342
KDM7A:ENSG00000006459	437	383	392	504	770	701	618	1072
ETV1:ENSG00000006468	323	349	192	238	371	337	274	448
AGK:ENSG00000006530	302	328	243	352	403	323	271	548
ALDH3B1:ENSG00000006534	819	825	518	685	641	525	418	832
TTC22:ENSG00000006555	23	30	9	15	11	16	8	20
PHTF2:ENSG00000006576	104	110	136	146	153	141	82	159
CCL26:ENSG00000006606	0	1	0	0	0	3	0	1
FARP2:ENSG00000006607	311	317	388	470	579	505	390	698
USH1C:ENSG00000006611	0	0	0	0	0	0	0	0
GGCT:ENSG00000006625	350	295	276	333	312	283	296	540
DBF4:ENSG00000006634	626	512	558	605	878	790	714	1258
TBXA2R:ENSG00000006638	1	2	2	3	0	0	2	1
IFRD1:ENSG00000006652	6100	5817	7269	9279	10376	9233	9644	16214
LGALS14:ENSG00000006659	0	0	0	0	0	0	0	0
COX10:ENSG00000006695	189	156	138	165	210	169	178	282
GTF2IRD1:ENSG00000006704	713	709	572	738	669	580	522	969
PAF1:ENSG00000006712	1133	1121	945	1435	1594	1385	1446	2596
VPS41:ENSG00000006715	954	888	716	977	984	845	853	1507
ARHGAP44:ENSG00000006740	7	7	8	11	17	6	10	14
ELAC2:ENSG00000006744	745	747	508	665	820	722	752	1231
SCIN:ENSG00000006747	195	165	168	221	183	151	107	211
ARSD:ENSG00000006756	324	279	190	283	275	221	173	317
PNPLA4:ENSG00000006757	127	150	128	182	182	151	162	293
MYH13:ENSG00000006788	0	0	0	0	1	0	0	1
ADIPOR2:ENSG00000006831	3457	3394	3485	4603	6019	5320	5445	8633
CDKL3:ENSG00000006837	34	31	35	41	46	39	48	84
UPP2:ENSG00000007001	0	0	0	0	0	0	0	0
PRSS21:ENSG00000007038	0	0	0	0	0	0	0	1
MARK4:ENSG00000007047	225	224	183	264	243	192	164	242
PROM1:ENSG00000007062	0	0	0	0	2	0	0	0
CCDC124:ENSG00000007080	555	594	464	606	651	598	663	1153
CEACAM21:ENSG00000007129	0	0	1	0	0	0	0	0
PAFAH1B1:ENSG00000007168	4183	4085	3336	4200	4848	4144	4591	7846
NOS2:ENSG00000007171	0	0	0	0	0	0	0	0
DNAH9:ENSG00000007174	0	3	0	2	1	4	4	4
KIAA0100:ENSG00000007202	2507	2513	1719	2353	2572	2262	2341	3915
SLC13A2:ENSG00000007216	0	0	0	0	0	0	0	0
GAS7:ENSG00000007237	3	5	1	1	1	1	0	0
TRAPPC6A:ENSG00000007255	134	134	89	144	148	133	132	268
MATK:ENSG00000007264	8	7	4	4	10	9	5	1
CEACAM7:ENSG00000007306	1	0	8	3	6	5	6	9
CD79B:ENSG00000007312	0	0	0	1	7	3	6	5
SCN4A:ENSG00000007314	1	1	2	9	22	21	6	15
ST7L:ENSG00000007341	502	462	411	527	896	682	843	1419
TKTL1:ENSG00000007350	3	3	5	2	6	4	4	7
PAX6:ENSG00000007372	0	0	0	0	0	0	0	0
RPUSD1:ENSG00000007376	579	606	412	520	533	468	563	993
RHBDF1:ENSG00000007384	472	448	293	387	412	362	209	403
LUC7L:ENSG00000007392	1087	1075	881	1133	1506	1309	1439	2325
CACNA2D2:ENSG00000007402	0	1	0	0	3	1	5	4
BAIAP3:ENSG00000007516	28	41	29	47	48	42	34	81
TSR3:ENSG00000007520	363	353	250	306	296	239	266	466
PIGQ:ENSG00000007541	779	783	569	702	740	642	609	1144
CRAMP1:ENSG00000007545	1717	1780	894	1279	1971	1668	1527	2699
TEAD3:ENSG00000007866	304	330	202	303	248	243	189	205
SELE:ENSG00000007908	0	0	0	0	0	0	0	0
DNAJC11:ENSG00000007923	1110	1209	858	1220	1348	1176	1290	2167
FMO3:ENSG00000007933	0	0	0	0	0	0	0	0
MYLIP:ENSG00000007944	1112	1089	1107	1402	1499	1238	1471	2707
NOX1:ENSG00000007952	0	0	0	0	0	0	0	0
E2F2:ENSG00000007968	95	94	96	123	64	48	24	41
PSMB1:ENSG00000008018	1855	1703	1687	1982	2601	2141	2295	4080
SYN1:ENSG00000008056	0	0	2	1	8	7	8	11
JARID2:ENSG00000008083	2314	2104	1950	2855	4680	3795	2774	5160
CDKL5:ENSG00000008086	70	91	76	99	122	112	86	123
CAMK1G:ENSG00000008118	0	0	0	1	0	1	1	1
CDK11A:ENSG00000008128	1936	1766	2113	2789	4062	3307	3447	6315
NADK:ENSG00000008130	333	306	247	308	362	308	352	580
TFAP2B:ENSG00000008196	0	0	0	0	0	0	0	0
TFAP2D:ENSG00000008197	0	0	0	0	0	0	0	0
DLEC1:ENSG00000008226	4	1	1	1	1	1	1	1
CYTH3:ENSG00000008256	648	621	430	579	598	510	508	910
ADAM22:ENSG00000008277	82	75	40	67	54	38	20	40
SYPL1:ENSG00000008282	4385	4368	3533	4553	5177	4609	4587	7292
CYB561:ENSG00000008283	1010	1052	770	926	971	840	910	1516
SPAG9:ENSG00000008294	7939	7301	8792	11653	17332	14094	14740	24942
CELSR3:ENSG00000008300	1662	1826	1256	1817	2692	2467	1997	3166
AASS:ENSG00000008311	279	268	274	346	676	564	490	706
PLEKHG6:ENSG00000008323	44	60	22	39	21	20	7	20
SS18L2:ENSG00000008324	145	145	155	157	211	173	179	320
MPND:ENSG00000008382	29	30	20	33	34	29	26	41
MGST1:ENSG00000008394	3938	3675	3232	3892	3761	3392	3083	5283
CRY1:ENSG00000008405	1972	2026	1446	1829	2266	2197	2686	4602
PGLYRP1:ENSG00000008438	0	0	0	0	0	0	0	0
NFIX:ENSG00000008441	773	838	624	862	839	779	612	880
ST3GAL1:ENSG00000008513	725	720	610	799	865	797	659	1214
MMP25:ENSG00000008516	46	59	176	207	652	500	399	712
IL32:ENSG00000008517	352	409	297	349	561	502	371	619
PKD1:ENSG00000008710	1338	1324	1242	1692	2281	2088	1886	3219
MAPK8IP2:ENSG00000008735	91	83	58	80	80	80	82	154
MED24:ENSG00000008838	784	767	591	738	889	741	763	1339
RHOBTB2:ENSG00000008853	98	103	57	84	78	71	65	104
HEATR5B:ENSG00000008869	907	876	821	1067	1329	1185	1096	1956
SEC62:ENSG00000008952	2022	2023	1632	1942	2761	2619	2494	4433
RPS20:ENSG00000008988	13054	11597	11568	14276	14768	12603	13910	24086
CSDE1:ENSG00000009307	7745	7504	6457	8192	9862	8435	8913	14990
UBE3C:ENSG00000009335	1803	1721	1591	2063	2584	2237	2494	4201
REV3L:ENSG00000009413	1334	1337	1269	1567	2142	1919	1839	2962
TENM1:ENSG00000009694	0	0	0	1	0	1	2	2
PAX7:ENSG00000009709	0	0	0	0	0	0	0	1
MASP2:ENSG00000009724	3	3	1	2	15	3	8	23
IYD:ENSG00000009765	0	0	0	0	0	0	0	0
FAM76A:ENSG00000009780	193	177	79	99	123	111	120	207
TRAF3IP3:ENSG00000009790	0	0	0	0	0	0	0	0
POMT2:ENSG00000009830	416	385	220	314	411	377	306	546
VTA1:ENSG00000009844	573	517	541	567	657	608	673	1087
MLXIPL:ENSG00000009950	15	25	23	18	28	16	19	37
BAZ1B:ENSG00000009954	4674	4623	3467	4541	5738	4849	5214	8664
RANBP9:ENSG00000010017	693	632	705	919	872	700	739	1170
ETV7:ENSG00000010030	15	21	16	16	12	18	8	9
SPRTN:ENSG00000010072	233	222	194	263	345	288	255	417
EEF1AKNMT:ENSG00000010165	453	468	390	520	704	614	637	1105
DYRK4:ENSG00000010219	653	640	531	657	788	673	706	1264
ZNF207:ENSG00000010244	4665	4532	4045	5038	6872	5991	6013	9865
UQCRC1:ENSG00000010256	1031	1029	684	950	981	855	857	1403
STARD3NL:ENSG00000010270	662	721	553	721	832	719	720	1245
CD9:ENSG00000010278	1529	1582	1311	1672	1770	1578	1411	2283
HHATL:ENSG00000010282	0	0	0	0	0	0	0	0
NCAPD2:ENSG00000010292	1385	1449	1348	1814	1782	1470	1306	2134
IFFO1:ENSG00000010295	7	8	9	15	19	22	31	47
GIPR:ENSG00000010310	88	82	51	59	114	106	59	94
PHF7:ENSG00000010318	28	19	20	23	19	20	25	35
SEMA3G:ENSG00000010319	0	0	1	0	2	0	4	4
NISCH:ENSG00000010322	673	680	447	597	750	709	601	1074
STAB1:ENSG00000010327	1	1	0	0	2	2	1	3
FUZ:ENSG00000010361	5	3	5	3	4	2	2	4
SLC6A13:ENSG00000010379	25	36	32	47	89	73	66	132
IDS:ENSG00000010404	15635	15987	13160	17450	20506	18648	19665	31518
PRSS3:ENSG00000010438	8	6	2	5	7	3	4	8
ZNF200:ENSG00000010539	433	413	375	498	673	488	535	923
CD4:ENSG00000010610	0	1	1	1	1	0	0	2
LRRC23:ENSG00000010626	149	126	95	142	140	124	93	196
BTK:ENSG00000010671	0	0	1	0	4	2	4	7
HFE:ENSG00000010704	28	33	16	20	14	24	14	13
SCMH1:ENSG00000010803	383	368	250	354	349	340	315	514
FYN:ENSG00000010810	96	81	73	71	118	84	92	166
HIVEP2:ENSG00000010818	2546	2430	2948	4124	4908	3957	3503	5621
FMO1:ENSG00000010932	0	0	0	0	0	0	0	0
ELOA:ENSG00000011007	1095	1065	775	978	1166	986	1098	1928
LYPLA2:ENSG00000011009	814	808	643	843	1018	804	802	1386
CLCN6:ENSG00000011021	1096	1044	787	1023	1766	1490	1451	2759
MRC2:ENSG00000011028	7	5	10	10	11	8	10	30
NME1-NME2:ENSG00000011052	139	68	95	0	243	68	113	114
SLC6A7:ENSG00000011083	1	2	0	1	3	3	0	2
TSPAN9:ENSG00000011105	55	61	53	75	84	90	48	77
BTBD7:ENSG00000011114	936	956	656	831	1260	1112	1194	1905
APBA3:ENSG00000011132	194	188	120	144	132	125	99	153
MKS1:ENSG00000011143	207	226	115	168	156	130	116	200
ABHD5:ENSG00000011198	476	477	459	572	748	618	586	1007
ANOS1:ENSG00000011201	113	91	45	84	95	69	92	202
AKAP8L:ENSG00000011243	2486	2452	1966	2691	3555	3177	3651	6073
MBTD1:ENSG00000011258	709	757	614	667	896	806	901	1509
UTP18:ENSG00000011260	1026	968	891	1083	1320	1171	1386	2413
RNF216:ENSG00000011275	666	707	447	622	746	562	606	997
TTC19:ENSG00000011295	1288	1225	1124	1325	1821	1557	1545	2650
PTBP1:ENSG00000011304	8285	8648	8439	10908	12917	11289	12475	20320
DPF1:ENSG00000011332	54	38	40	55	110	63	74	143
SYT7:ENSG00000011347	912	944	626	853	997	807	743	1340
LARS2:ENSG00000011376	234	278	190	236	304	235	216	460
PIK3C2A:ENSG00000011405	2339	2314	2025	2511	3668	3274	3153	4801
PLAUR:ENSG00000011422	1542	1774	3080	4163	5475	4844	3503	6291
ANLN:ENSG00000011426	1625	1547	1765	2031	2196	1942	1663	2615
WIZ:ENSG00000011451	980	981	745	929	1094	975	1139	1829
RABGAP1:ENSG00000011454	2322	2158	1819	2305	2842	2407	2368	4209
DCN:ENSG00000011465	0	0	0	0	0	0	0	0
QPCTL:ENSG00000011478	158	157	129	161	223	193	194	287
PPP5C:ENSG00000011485	720	671	472	645	618	546	519	985
CEP68:ENSG00000011523	263	274	153	224	240	202	110	296
MAP4K3:ENSG00000011566	871	858	679	824	1127	1011	1007	1720
ZBTB32:ENSG00000011590	0	0	0	0	0	0	0	0
TYROBP:ENSG00000011600	0	0	0	0	0	0	0	0
TMEM159:ENSG00000011638	72	84	56	73	59	53	48	98
GABRA3:ENSG00000011677	0	0	0	0	0	0	0	0
BRCA1:ENSG00000012048	539	505	515	559	424	331	213	355
ERCC1:ENSG00000012061	359	356	344	446	619	501	387	780
CD22:ENSG00000012124	1561	1510	799	1142	1592	1553	1564	2881
SEMA3B:ENSG00000012171	40	34	23	27	54	35	33	62
MBTPS2:ENSG00000012174	786	782	607	785	974	916	914	1486
PRICKLE3:ENSG00000012211	222	235	180	220	230	204	192	356
LTF:ENSG00000012223	0	0	0	0	0	0	0	0
EXTL3:ENSG00000012232	273	341	170	239	256	267	184	344
NR1H4:ENSG00000012504	1	1	2	2	2	2	2	4
ELOVL5:ENSG00000012660	2052	2075	2047	2620	3557	3237	3096	5549
ALOX5:ENSG00000012779	1	0	1	2	6	5	3	7
KDM5D:ENSG00000012817	0	0	0	0	0	0	0	0
CALCOCO1:ENSG00000012822	544	565	303	434	479	406	268	526
UBR7:ENSG00000012963	284	281	258	285	255	213	217	375
MAP4K5:ENSG00000012983	1583	1421	1108	1468	2295	1968	2046	3592
EHD3:ENSG00000013016	9	8	3	3	7	5	3	6
PSMC4:ENSG00000013275	3039	3081	2611	3543	4054	3451	4122	6749
MAN2B2:ENSG00000013288	323	347	200	311	377	302	185	368
SLC7A14:ENSG00000013293	0	0	0	0	0	1	0	0
CLDN11:ENSG00000013297	1	1	2	0	8	4	2	1
SLC25A39:ENSG00000013306	2883	2917	2243	3088	3429	2892	2958	5441
MVP:ENSG00000013364	2767	2913	1825	2346	2513	2094	1741	3121
NUB1:ENSG00000013374	1812	1736	1370	1859	1947	1647	1330	2458
PGM3:ENSG00000013375	342	343	392	463	661	579	536	889
RWDD2A:ENSG00000013392	38	28	9	11	14	12	21	29
CLK1:ENSG00000013441	2355	2067	2624	3391	3783	3211	3155	5811
POLR3B:ENSG00000013503	333	374	212	259	297	277	273	482
ANGEL1:ENSG00000013523	862	927	505	740	823	673	626	1213
RNF14:ENSG00000013561	668	601	584	731	901	719	814	1387
DNASE1L1:ENSG00000013563	250	246	163	207	216	190	149	331
DDX11:ENSG00000013573	701	690	441	567	591	507	410	731
HEBP1:ENSG00000013583	388	374	316	433	367	322	369	583
GPRC5A:ENSG00000013588	6129	7186	6664	9060	10673	9503	7018	11329
MAMLD1:ENSG00000013619	255	305	210	283	394	332	284	471
CD6:ENSG00000013725	0	0	0	0	0	0	0	1
TACC3:ENSG00000013810	294	249	214	302	207	150	139	214
UFL1:ENSG00000014123	667	679	562	674	825	711	620	1025
POLA2:ENSG00000014138	427	441	278	382	276	276	163	275
ZC3H3:ENSG00000014164	661	761	438	514	585	521	685	1074
CAPN1:ENSG00000014216	5583	5754	3917	5478	5112	4470	3438	5829
ACP3:ENSG00000014257	35	35	10	16	21	19	9	24
MDH1:ENSG00000014641	346	356	235	306	281	263	266	453
SLC30A9:ENSG00000014824	940	955	851	1041	1308	1106	1153	2055
MTMR11:ENSG00000014914	134	110	78	107	127	92	85	151
COX15:ENSG00000014919	685	771	510	646	698	656	630	995
CCDC88C:ENSG00000015133	1283	1381	956	1287	1356	1236	1081	1939
YAF2:ENSG00000015153	182	185	184	221	254	315	249	465
ZMYND11:ENSG00000015171	1135	1140	966	1167	1254	1115	1275	1990
WAS:ENSG00000015285	2	0	0	2	0	3	1	5
DPEP1:ENSG00000015413	0	0	0	0	0	0	0	0
BID:ENSG00000015475	138	142	115	122	126	131	136	219
MATR3:ENSG00000015479	6529	6339	5989	7208	9014	7736	9145	15226
NPC1L1:ENSG00000015520	3	0	6	7	14	26	22	31
XYLT2:ENSG00000015532	230	256	52	72	110	86	91	148
RGPD5:ENSG00000015568	1063	1159	796	1559	1496	1141	1681	2408
STMN4:ENSG00000015592	1	2	1	1	2	2	3	1
NUDCD3:ENSG00000015676	1272	1395	756	998	1223	978	1016	1947
ISL1:ENSG00000016082	0	0	0	0	0	0	0	0
CHDH:ENSG00000016391	30	30	9	19	18	19	16	34
IL20RA:ENSG00000016402	6	5	5	4	8	5	2	4
CLCA1:ENSG00000016490	0	0	0	0	0	0	0	0
CLCA4:ENSG00000016602	0	0	0	0	0	0	0	0
GLT8D1:ENSG00000016864	258	244	160	203	200	171	180	284
ATP2C1:ENSG00000017260	2709	2794	2075	2781	3249	2706	2650	4382
IGF1:ENSG00000017427	0	0	0	0	0	0	0	0
SLC38A5:ENSG00000017483	1	2	2	1	1	1	1	4
RALBP1:ENSG00000017797	973	1020	715	960	809	672	643	1054
RUFY3:ENSG00000018189	129	156	60	86	102	110	89	161
CNTN1:ENSG00000018236	22	30	7	29	19	19	18	49
SLC11A1:ENSG00000018280	2	1	3	4	0	1	2	2
WWTR1:ENSG00000018408	2336	2478	2526	3311	4395	4015	3422	5698
AGPS:ENSG00000018510	843	776	541	663	709	661	681	1135
ZNF806:ENSG00000018607	0	0	0	0	0	0	0	0
CXorf56:ENSG00000018610	697	728	617	870	997	838	991	1772
ATP1A2:ENSG00000018625	0	0	0	0	1	1	0	1
TTC27:ENSG00000018699	752	810	634	773	1144	969	1255	2043
ZNF582:ENSG00000018869	13	6	7	9	10	7	6	24
VSIG2:ENSG00000019102	0	0	0	1	2	1	2	0
PHLDB1:ENSG00000019144	1093	1080	473	712	475	374	243	358
MARCO:ENSG00000019169	0	0	0	0	0	0	0	0
CYP24A1:ENSG00000019186	5	6	1	4	0	4	1	3
PRDM11:ENSG00000019485	687	688	417	566	758	664	790	1258
SYT13:ENSG00000019505	1	4	1	4	1	3	4	2
SNAI2:ENSG00000019549	1675	1457	1731	2625	3387	3036	1838	3283
CD74:ENSG00000019582	1474	1683	1175	1704	1753	1540	1290	2039
HGF:ENSG00000019991	0	0	0	0	0	0	0	0
ZRANB1:ENSG00000019995	800	698	668	938	1067	928	987	1730
NCDN:ENSG00000020129	2213	2461	2103	2915	4381	3644	4132	6928
ADGRA2:ENSG00000020181	10	12	7	8	4	2	2	5
CCT8L1P:ENSG00000020219	0	0	0	0	1	0	0	0
ZFP64:ENSG00000020256	71	97	26	27	22	26	28	46
MNAT1:ENSG00000020426	1388	1314	1102	1380	1574	1269	1447	2513
SAMD4A:ENSG00000020577	513	491	425	576	955	818	684	1414
RUNX3:ENSG00000020633	0	0	0	0	0	1	0	0
MRE11:ENSG00000020922	240	235	135	177	215	169	127	267
PLEKHB1:ENSG00000021300	5	11	3	4	4	11	1	10
SERPINB1:ENSG00000021355	3255	3250	3218	3847	4791	4128	4092	7149
CYP3A43:ENSG00000021461	1	0	0	0	0	0	0	0
SLC7A9:ENSG00000021488	29	22	24	27	40	21	38	67
SPAST:ENSG00000021574	1155	1200	877	1069	1193	1146	860	1552
NRXN3:ENSG00000021645	2	1	0	0	4	5	1	4
OSBPL5:ENSG00000021762	14	14	7	6	10	3	9	17
AQR:ENSG00000021776	931	930	895	1037	1565	1234	1352	2243
CPS1:ENSG00000021826	186	168	111	146	144	143	100	164
C8B:ENSG00000021852	0	0	0	0	0	0	0	0
FHL1:ENSG00000022267	0	2	1	1	2	1	1	3
