	A549Swt0h1_h0	A549Swt0h2_h0	A549S3wt3hHGF1_h3	A549S3wt3hHGF2_h3	A549S6wt6hHGF1_h6	A549S6wt6hHGF2_h6	A549S12wt12hHGF1_h12	A549S12wt12hHGF2_h12
PAF1:ENSG00000006712	2127	2307	3071	2615	3394	2973	3630	2580
VPS41:ENSG00000006715	822	898	904	813	1031	964	1378	972
ARHGAP44:ENSG00000006740	13	11	15	17	14	10	11	11
ELAC2:ENSG00000006744	1560	1554	1538	1193	1428	1253	1953	1348
SCIN:ENSG00000006747	17	34	19	18	16	11	16	2
ARSD:ENSG00000006756	308	279	347	213	364	266	318	246
PNPLA4:ENSG00000006757	156	146	153	141	144	158	207	152
MYH13:ENSG00000006788	1	0	1	0	0	1	0	0
ADIPOR2:ENSG00000006831	1907	1907	2468	1997	2808	2522	3673	2436
CDKL3:ENSG00000006837	30	38	25	19	43	37	67	43
UPP2:ENSG00000007001	0	0	0	0	0	0	0	0
PRSS21:ENSG00000007038	0	0	0	0	0	0	0	0
MARK4:ENSG00000007047	192	176	198	162	231	189	221	181
PROM1:ENSG00000007062	1	0	0	0	1	0	0	1
CCDC124:ENSG00000007080	464	473	451	398	547	486	702	419
CEACAM21:ENSG00000007129	0	0	0	0	0	0	0	0
PAFAH1B1:ENSG00000007168	4844	5006	5468	4577	6442	6171	8463	6211
NOS2:ENSG00000007171	0	1	0	0	0	0	0	0
DNAH9:ENSG00000007174	0	0	0	0	0	0	0	0
KIAA0100:ENSG00000007202	3178	2726	3184	2547	3156	2678	3334	2379
SLC13A2:ENSG00000007216	0	0	0	0	0	0	0	0
GAS7:ENSG00000007237	21	22	24	21	14	14	19	13
TRAPPC6A:ENSG00000007255	241	201	216	171	241	197	239	181
MATK:ENSG00000007264	4	7	4	5	7	3	15	11
CEACAM7:ENSG00000007306	0	0	1	1	0	0	1	1
CD79B:ENSG00000007312	1	2	3	1	0	0	2	2
SCN4A:ENSG00000007314	12	15	13	7	12	4	10	11
ST7L:ENSG00000007341	143	145	156	160	249	211	245	210
TKTL1:ENSG00000007350	27	57	40	25	25	28	32	17
PAX6:ENSG00000007372	8	1	3	5	6	2	7	8
RPUSD1:ENSG00000007376	197	147	143	92	126	115	182	142
RHBDF1:ENSG00000007384	344	413	518	376	468	477	613	334
LUC7L:ENSG00000007392	1240	1558	1526	1288	1823	1568	2307	1641
CACNA2D2:ENSG00000007402	1	4	1	0	2	2	1	1
BAIAP3:ENSG00000007516	51	57	54	42	38	48	30	23
TSR3:ENSG00000007520	237	285	186	151	143	138	183	124
PIGQ:ENSG00000007541	271	294	286	198	287	278	247	195
CRAMP1:ENSG00000007545	959	1031	1533	1179	1907	1738	2028	1187
TEAD3:ENSG00000007866	131	137	145	91	107	89	138	107
SELE:ENSG00000007908	0	0	0	0	0	0	0	0
DNAJC11:ENSG00000007923	843	936	1049	866	1149	1019	1299	879
FMO3:ENSG00000007933	0	0	0	0	0	0	0	0
MYLIP:ENSG00000007944	215	178	282	274	257	213	344	237
NOX1:ENSG00000007952	0	0	0	0	0	0	0	0
E2F2:ENSG00000007968	15	19	13	9	6	4	8	7
PSMB1:ENSG00000008018	2879	3248	2887	2457	3558	3118	4860	3586
SYN1:ENSG00000008056	4	10	6	6	10	3	18	10
JARID2:ENSG00000008083	299	309	697	562	808	777	777	541
CDKL5:ENSG00000008086	690	627	1186	963	1222	1113	1192	863
CAMK1G:ENSG00000008118	0	0	0	0	0	1	2	0
CDK11A:ENSG00000008128	779	814	1093	996	1346	1312	1459	1029
NADK:ENSG00000008130	474	503	514	368	503	456	717	491
TFAP2B:ENSG00000008196	0	0	0	0	0	0	0	0
TFAP2D:ENSG00000008197	0	0	0	0	0	0	0	0
DLEC1:ENSG00000008226	0	0	1	1	1	2	1	3
CYTH3:ENSG00000008256	664	661	576	472	598	545	837	592
ADAM22:ENSG00000008277	3	4	2	1	1	0	3	0
SYPL1:ENSG00000008282	1371	1409	1544	1388	1819	1700	2521	1721
CYB561:ENSG00000008283	381	307	345	289	315	315	410	300
SPAG9:ENSG00000008294	6367	7160	14196	12576	18952	17173	17613	12240
CELSR3:ENSG00000008300	1434	1500	2265	1748	2916	2616	2946	2022
AASS:ENSG00000008311	14	17	34	27	34	27	30	14
PLEKHG6:ENSG00000008323	0	0	4	1	0	2	2	0
SS18L2:ENSG00000008324	110	161	128	125	179	142	232	150
MPND:ENSG00000008382	23	22	19	15	21	15	15	10
MGST1:ENSG00000008394	3064	2765	2721	2143	2683	2514	3169	2731
CRY1:ENSG00000008405	852	1059	909	785	1054	919	1750	1150
PGLYRP1:ENSG00000008438	0	0	0	0	0	0	0	0
NFIX:ENSG00000008441	91	59	80	65	109	84	155	104
ST3GAL1:ENSG00000008513	388	334	440	412	469	516	749	513
MMP25:ENSG00000008516	14	23	398	264	590	620	522	280
IL32:ENSG00000008517	149	265	263	200	275	248	288	160
PKD1:ENSG00000008710	2273	1833	2328	1751	2367	2080	2703	1967
MAPK8IP2:ENSG00000008735	117	109	115	78	113	117	197	182
MED24:ENSG00000008838	956	935	1018	736	967	919	1195	808
RHOBTB2:ENSG00000008853	280	233	241	214	245	221	262	162
HEATR5B:ENSG00000008869	486	501	498	463	538	489	980	709
SEC62:ENSG00000008952	2293	2093	2499	2142	2956	2796	3716	2826
RPS20:ENSG00000008988	8366	10237	9359	7958	10739	9308	14390	10724
CSDE1:ENSG00000009307	5402	5641	6051	5108	7123	6277	9224	6444
UBE3C:ENSG00000009335	1760	1865	2267	1968	2719	2465	3337	2385
REV3L:ENSG00000009413	2127	2051	2695	2378	3012	2607	4645	3157
TENM1:ENSG00000009694	1	0	0	1	1	1	5	6
PAX7:ENSG00000009709	89	65	68	50	70	71	99	78
MASP2:ENSG00000009724	5	9	8	5	10	12	31	13
IYD:ENSG00000009765	0	0	1	0	0	0	0	0
FAM76A:ENSG00000009780	73	71	49	34	60	38	127	85
TRAF3IP3:ENSG00000009790	0	0	0	0	0	0	0	0
POMT2:ENSG00000009830	826	796	843	711	1057	1078	1153	830
VTA1:ENSG00000009844	731	801	1021	837	1185	1045	1515	1106
MLXIPL:ENSG00000009950	62	33	51	28	47	38	36	27
BAZ1B:ENSG00000009954	3160	3228	4141	3418	4634	4402	5682	4173
RANBP9:ENSG00000010017	358	363	537	442	615	603	802	519
ETV7:ENSG00000010030	4	4	5	2	4	1	2	4
SPRTN:ENSG00000010072	304	341	422	346	452	391	498	347
EEF1AKNMT:ENSG00000010165	484	504	594	463	604	530	781	533
DYRK4:ENSG00000010219	400	422	372	257	416	356	570	428
ZNF207:ENSG00000010244	6088	6614	8309	6583	9531	8390	12485	8683
UQCRC1:ENSG00000010256	1327	1401	1456	1125	1604	1357	1790	1301
STARD3NL:ENSG00000010270	689	674	600	534	682	608	987	783
CD9:ENSG00000010278	837	849	808	641	842	742	1135	854
HHATL:ENSG00000010282	1	0	2	1	1	1	0	1
NCAPD2:ENSG00000010292	1039	1244	1059	890	887	714	799	560
IFFO1:ENSG00000010295	6	13	9	10	5	7	11	4
GIPR:ENSG00000010310	39	36	30	33	39	58	42	49
PHF7:ENSG00000010318	9	20	15	13	10	7	18	15
SEMA3G:ENSG00000010319	0	0	2	1	0	0	1	0
NISCH:ENSG00000010322	603	602	784	575	872	778	1097	793
STAB1:ENSG00000010327	1	1	1	0	0	0	0	3
FUZ:ENSG00000010361	62	57	54	44	48	36	29	40
SLC6A13:ENSG00000010379	9	11	13	9	23	23	41	17
IDS:ENSG00000010404	5565	5300	6889	5639	8612	7977	12464	8363
PRSS3:ENSG00000010438	129	160	213	152	278	281	589	463
ZNF200:ENSG00000010539	286	321	475	403	487	417	621	442
CD4:ENSG00000010610	0	1	0	0	1	0	0	0
LRRC23:ENSG00000010626	116	92	78	78	87	75	78	75
BTK:ENSG00000010671	1	0	0	1	0	0	1	0
HFE:ENSG00000010704	95	60	51	30	41	46	41	33
SCMH1:ENSG00000010803	299	285	328	262	393	341	456	300
FYN:ENSG00000010810	71	75	65	49	95	61	148	94
HIVEP2:ENSG00000010818	694	676	1838	1544	2377	2288	2160	1488
FMO1:ENSG00000010932	0	0	0	0	0	0	0	0
ELOA:ENSG00000011007	1041	1191	1408	1138	1472	1303	2214	1541
LYPLA2:ENSG00000011009	461	502	483	333	395	353	451	315
CLCN6:ENSG00000011021	634	634	776	592	784	820	1172	768
MRC2:ENSG00000011028	355	271	280	274	327	336	325	198
NME1-NME2:ENSG00000011052	115	232	105	265	500	95	143	223
SLC6A7:ENSG00000011083	0	1	0	0	0	1	1	0
TSPAN9:ENSG00000011105	174	154	239	176	324	335	370	261
BTBD7:ENSG00000011114	736	803	982	851	1160	1154	1689	1116
APBA3:ENSG00000011132	191	178	190	131	173	155	186	148
MKS1:ENSG00000011143	187	159	134	114	139	132	143	118
ABHD5:ENSG00000011198	437	524	527	438	667	565	1018	776
ANOS1:ENSG00000011201	3	2	0	3	3	4	6	7
AKAP8L:ENSG00000011243	1297	1496	1711	1351	1956	1792	2511	1804
MBTD1:ENSG00000011258	383	328	549	502	553	455	759	501
UTP18:ENSG00000011260	1723	1912	1832	1568	2144	1884	2782	1959
RNF216:ENSG00000011275	1045	1032	1221	891	1295	1272	1685	1093
TTC19:ENSG00000011295	951	1009	1021	918	1137	1027	1212	873
PTBP1:ENSG00000011304	5057	5272	5730	4806	6383	5606	6453	4760
DPF1:ENSG00000011332	90	116	94	78	125	133	156	95
SYT7:ENSG00000011347	19	9	10	9	20	12	50	29
LARS2:ENSG00000011376	288	261	286	254	310	279	344	260
PIK3C2A:ENSG00000011405	1413	1169	2221	2026	2668	2467	3106	2164
PLAUR:ENSG00000011422	1745	1844	3281	2512	3923	3616	3838	2552
ANLN:ENSG00000011426	2001	2180	2214	1869	1932	1631	1606	1097
WIZ:ENSG00000011451	577	651	726	586	763	696	966	604
RABGAP1:ENSG00000011454	1136	1253	1379	1237	1756	1568	2022	1401
DCN:ENSG00000011465	0	0	0	0	0	0	0	0
QPCTL:ENSG00000011478	85	115	81	45	68	72	67	40
PPP5C:ENSG00000011485	707	685	643	486	587	509	782	564
CEP68:ENSG00000011523	485	441	300	236	308	282	597	408
MAP4K3:ENSG00000011566	1179	971	1639	1370	2082	1734	2534	1792
ZBTB32:ENSG00000011590	0	0	0	0	0	0	0	0
TYROBP:ENSG00000011600	0	0	0	0	0	0	0	0
TMEM159:ENSG00000011638	277	299	245	208	253	235	444	359
GABRA3:ENSG00000011677	34	33	41	27	31	39	45	48
BRCA1:ENSG00000012048	292	253	245	194	154	145	131	75
ERCC1:ENSG00000012061	1222	1480	1934	1425	1941	1846	1985	1375
CD22:ENSG00000012124	210	321	360	256	382	335	376	253
SEMA3B:ENSG00000012171	361	307	356	256	338	342	322	251
MBTPS2:ENSG00000012174	1280	1189	1216	1070	1536	1429	1795	1323
PRICKLE3:ENSG00000012211	176	176	187	138	177	119	217	150
LTF:ENSG00000012223	0	1	1	1	2	0	0	0
EXTL3:ENSG00000012232	495	405	546	423	522	518	730	527
NR1H4:ENSG00000012504	1	2	0	1	0	1	1	1
ELOVL5:ENSG00000012660	1229	1172	1395	1239	1601	1551	2076	1432
ALOX5:ENSG00000012779	18	13	27	11	19	34	31	21
KDM5D:ENSG00000012817	450	493	767	578	1037	910	1102	670
CALCOCO1:ENSG00000012822	689	731	576	425	477	438	921	670
UBR7:ENSG00000012963	398	487	393	365	528	471	750	530
MAP4K5:ENSG00000012983	1546	1741	2436	2184	3475	3234	4305	2943
EHD3:ENSG00000013016	90	46	38	38	42	32	47	32
PSMC4:ENSG00000013275	5591	6508	6693	5281	7188	6409	9397	6794
MAN2B2:ENSG00000013288	211	186	270	210	242	271	231	191
SLC7A14:ENSG00000013293	2	0	0	0	0	0	1	0
CLDN11:ENSG00000013297	2	2	3	6	3	3	5	0
SLC25A39:ENSG00000013306	1660	1779	1860	1291	1765	1601	2529	1612
MVP:ENSG00000013364	2735	2632	2369	1807	2080	1869	2164	1614
NUB1:ENSG00000013374	1611	1580	1514	1301	1733	1522	1990	1506
PGM3:ENSG00000013375	569	464	766	593	879	891	1066	766
RWDD2A:ENSG00000013392	57	43	42	26	30	21	43	31
CLK1:ENSG00000013441	3049	3468	4995	4452	5404	4935	6982	4849
POLR3B:ENSG00000013503	125	122	121	113	117	96	234	141
ANGEL1:ENSG00000013523	691	620	628	482	595	537	839	583
RNF14:ENSG00000013561	751	665	825	739	987	920	1210	865
DNASE1L1:ENSG00000013563	119	108	83	57	83	78	84	77
DDX11:ENSG00000013573	412	433	479	361	520	462	696	437
HEBP1:ENSG00000013583	451	471	399	282	453	388	519	423
GPRC5A:ENSG00000013588	13933	16257	13038	9851	13507	12311	18309	13310
MAMLD1:ENSG00000013619	311	320	673	457	1057	998	964	709
CD6:ENSG00000013725	0	0	0	0	0	0	0	0
TACC3:ENSG00000013810	397	373	334	257	206	170	151	99
UFL1:ENSG00000014123	575	446	534	467	635	591	729	589
POLA2:ENSG00000014138	130	145	131	107	113	86	71	57
ZC3H3:ENSG00000014164	597	619	699	497	638	557	805	513
CAPN1:ENSG00000014216	776	698	672	526	600	560	623	449
ACP3:ENSG00000014257	0	0	0	1	0	0	0	0
MDH1:ENSG00000014641	1979	2054	1846	1521	1911	1710	2596	1873
SLC30A9:ENSG00000014824	567	478	709	657	813	778	883	666
MTMR11:ENSG00000014914	163	159	175	129	175	173	206	144
COX15:ENSG00000014919	761	652	663	557	769	583	1039	706
CCDC88C:ENSG00000015133	160	129	148	146	123	116	237	148
YAF2:ENSG00000015153	333	377	448	381	543	512	678	486
ZMYND11:ENSG00000015171	2187	2299	2507	2200	3078	2819	4217	3059
WAS:ENSG00000015285	5	8	4	4	8	1	5	3
DPEP1:ENSG00000015413	1	0	0	1	1	1	1	0
BID:ENSG00000015475	168	227	201	168	192	207	299	198
MATR3:ENSG00000015479	6673	6780	7824	6821	9422	8922	13493	9622
NPC1L1:ENSG00000015520	2	2	5	6	11	15	17	13
XYLT2:ENSG00000015532	290	250	139	123	80	59	232	159
RGPD5:ENSG00000015568	771	485	1091	1275	1316	1587	2264	1185
STMN4:ENSG00000015592	53	50	49	25	21	27	46	33
NUDCD3:ENSG00000015676	1459	1544	1645	1278	1538	1445	2099	1408
ISL1:ENSG00000016082	0	0	0	0	0	0	1	0
CHDH:ENSG00000016391	52	31	35	22	32	19	48	41
IL20RA:ENSG00000016402	0	0	0	0	0	0	0	0
CLCA1:ENSG00000016490	0	0	0	0	0	0	1	0
CLCA4:ENSG00000016602	0	0	0	0	0	0	0	0
GLT8D1:ENSG00000016864	280	280	219	138	197	149	267	186
ATP2C1:ENSG00000017260	940	831	903	811	1107	987	1498	1154
IGF1:ENSG00000017427	0	0	0	0	0	0	0	0
SLC38A5:ENSG00000017483	0	1	2	0	1	0	0	1
RALBP1:ENSG00000017797	626	626	488	408	441	396	719	585
RUFY3:ENSG00000018189	160	152	124	115	163	126	266	188
CNTN1:ENSG00000018236	728	621	557	516	499	508	537	399
SLC11A1:ENSG00000018280	7	3	2	5	4	3	4	1
WWTR1:ENSG00000018408	2177	2031	1579	1299	1546	1327	2900	2143
AGPS:ENSG00000018510	1292	1189	1182	1000	1350	1189	1852	1318
ZNF806:ENSG00000018607	0	0	0	0	0	0	0	0
CXorf56:ENSG00000018610	679	743	719	670	909	773	1214	823
ATP1A2:ENSG00000018625	3	0	0	0	0	2	3	1
TTC27:ENSG00000018699	392	422	511	430	601	536	671	497
ZNF582:ENSG00000018869	49	72	67	49	71	39	64	44
VSIG2:ENSG00000019102	0	0	0	0	0	0	0	0
PHLDB1:ENSG00000019144	71	64	237	180	292	308	155	102
MARCO:ENSG00000019169	0	0	1	1	0	2	5	3
CYP24A1:ENSG00000019186	3001	1638	3300	2691	4303	4896	1054	775
PRDM11:ENSG00000019485	388	438	701	540	754	665	983	615
SYT13:ENSG00000019505	82	53	48	35	48	47	53	37
SNAI2:ENSG00000019549	21	16	124	117	224	265	90	64
CD74:ENSG00000019582	2	0	0	0	2	0	0	0
HGF:ENSG00000019991	0	1	1	0	0	0	0	0
ZRANB1:ENSG00000019995	932	1003	1185	1013	1372	1231	1776	1145
NCDN:ENSG00000020129	487	497	629	519	717	646	754	557
ADGRA2:ENSG00000020181	58	43	62	41	64	77	97	53
CCT8L1P:ENSG00000020219	0	0	0	0	0	0	0	0
ZFP64:ENSG00000020256	136	110	70	41	56	45	137	79
MNAT1:ENSG00000020426	496	499	487	426	574	489	899	635
SAMD4A:ENSG00000020577	1995	2212	3298	2497	3515	3259	3973	2682
RUNX3:ENSG00000020633	118	89	126	119	122	84	119	92
MRE11:ENSG00000020922	339	309	238	221	260	268	400	275
PLEKHB1:ENSG00000021300	2	4	2	2	0	1	1	1
SERPINB1:ENSG00000021355	1236	1213	1067	860	1055	965	1216	965
CYP3A43:ENSG00000021461	0	0	0	0	0	0	0	0
SLC7A9:ENSG00000021488	6	10	16	4	20	11	12	9
SPAST:ENSG00000021574	734	641	758	627	845	758	1104	751
NRXN3:ENSG00000021645	20	34	27	13	17	12	21	18
OSBPL5:ENSG00000021762	94	78	91	59	63	52	82	51
AQR:ENSG00000021776	2693	2829	3696	3060	4382	3805	5052	3628
CPS1:ENSG00000021826	907	466	549	428	455	473	364	286
C8B:ENSG00000021852	0	0	0	0	0	0	0	0
FHL1:ENSG00000022267	146	121	126	114	105	92	125	66
RTF2:ENSG00000022277	1818	2209	2199	1853	2575	2263	3487	2483
GABRA1:ENSG00000022355	0	0	0	0	0	0	0	0
NLRP2:ENSG00000022556	636	625	722	555	745	613	829	537
SLC45A4:ENSG00000022567	412	290	542	423	475	499	301	214
RNF10:ENSG00000022840	3206	3614	4347	3352	5186	4621	7169	4993
